Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

04:25:31 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:32:26 AM 323760816 389059828   2599788      0.66    857096  64835724  47669456     11.82  42438032  24375900      1436   1287492   2820360      9952     16132    861640
04:32:31 AM 323731000 389031424   2628256      0.67    857096  64837004  53297940     13.22  42438240  24399440      1588   1309940   2820428      9984     16968    861640
04:32:36 AM 323732156 389033836   2624720      0.66    857096  64838220  53292072     13.22  42438428  24398484      1264   1307364   2821592      9936     16524    861704
04:32:41 AM 323731972 389035416   2623568      0.66    857096  64839980  50489424     12.52  42438592  24399308      1500   1307024   2821168      9968     16544    861656
04:32:46 AM 323728096 389032568   2626148      0.67    857096  64840992  47659408     11.82  42438748  24398504       256   1305404   2821452      9984     16216    861576
04:32:51 AM 323753524 389059392   2599804      0.66    857096  64842360  49599640     12.30  42438948  24372260      1580   1277924   2821000      9984     16448    861640
04:32:56 AM 323722928 389030072   2628640      0.67    857096  64843668  53299688     13.22  42439152  24405920      1324   1310108   2821452     10016     16928    861696
04:33:01 AM 323746728 389055200   2603844      0.66    857096  64844976  50491916     12.52  42439340  24389244      2028   1292344   2821140     10048     16640    861616
04:33:06 AM 323820308 389130952   2528932      0.64    857096  64847040  39393544      9.77  42439444  24297984      1052   1199540   2820408      9968     14920    861648
04:33:11 AM 323721064 389033132   2627244      0.67    857096  64848444  50476144     12.52  42439648  24411456       964   1311764   2819936      9984     16696    861696
04:33:16 AM 323724604 389037276   2622516      0.66    857096  64849016  53299832     13.22  42439848  24410912      1744   1310948   2820552      9984     16780    861712
04:33:21 AM 323727084 389041080   2619244      0.66    857096  64850292  53300532     13.22  42440028  24412804      1176   1311784   2820068      9968     16820    861656
04:33:26 AM 323737804 389053428   2606108      0.66    857096  64851936  50494528     12.52  42440208  24410044      1268   1307496   2820840      9952     16436    861672
04:33:31 AM 323721972 389038360   2620440      0.66    857096  64852660  53302244     13.22  42440360  24409900       796   1306276   2821616      9968     16276    861656
04:33:36 AM 323745772 389064024   2594272      0.66    857096  64854476  49598008     12.30  42440508  24387812      1480   1282512   2822168      9984     16180    861720
04:33:41 AM 323725172 389044620   2614692      0.66    857096  64855640  53303356     13.22  42440712  24416376      1348   1310660   2821184      9968     16988    861704
04:33:46 AM 323726720 389047664   2611296      0.66    857096  64857052  53304500     13.22  42440920  24417784      1416   1310840   2821620      9984     16904    861736
04:33:51 AM 323734112 389056212   2603264      0.66    857096  64858140  50499092     12.52  42441104  24413292       824   1304824   2821172      9984     16376    861688
04:33:56 AM 323726928 389050452   2608108      0.66    857096  64859560  53290420     13.21  42441252  24418664       792   1309420   2822092      9984     16876    861720
04:34:01 AM 323768116 389093052   2565900      0.65    857096  64860964  49615632     12.30  42441416  24386840      1548   1276492   2821708     10016     15708    861656
04:34:06 AM 323744484 389071264   2588448      0.66    857096  64862776  49596328     12.30  42441608  24395112      2112   1283068   2820980      9984     16500    861688
04:34:11 AM 323714708 389042664   2617140      0.66    857096  64863920  53298720     13.22  42441824  24423660      1540   1309936   2820920      9984     16964    861624
04:34:16 AM 323718116 389047580   2612928      0.66    857096  64865384  53297628     13.22  42441996  24423588      1220   1308820   2820260      9968     16684    861640
04:34:21 AM 323711584 389042368   2618252      0.66    857096  64866696  50483484     12.52  42442164  24424608      1296   1309240   2820156      9968     16676    861624
04:34:26 AM 323701124 389033184   2626736      0.67    857096  64867952  50485532     12.52  42442352  24426928      1744   1310448   2820876      9984     17032    861624
04:34:31 AM 323727624 389061200   2598524      0.66    857096  64869468  49593908     12.30  42442496  24398804       920   1280520   2821072     10000     16516    861624
04:34:36 AM 323677856 389012432   2646572      0.67    857096  64870444  53307428     13.22  42442692  24428572      1032   1309988   2821816     10016     16924    861656
04:34:41 AM 323677180 389013228   2646416      0.67    857096  64871900  53304728     13.22  42442868  24431672       900   1311732   2821192     10000     16716    861640
04:34:46 AM 323706804 389044036   2615548      0.66    857096  64873000  49600884     12.30  42443012  24399156       636   1278320   2821336     10000     16160    861688
04:34:51 AM 323732132 389070872   2588484      0.66    857096  64874508  49611336     12.30  42443164  24402264       472   1280052   2821564     10000     16476    861640
04:34:56 AM 323696496 389036432   2622828      0.66    857096  64875676  53301248     13.22  42443396  24434064      1744   1310972   2821688     10032     17040    861696
04:35:01 AM 323711812 389053380   2605380      0.66    857096  64877252  50488000     12.52  42443560  24419492      1008   1295060   2822244     10048     16472    861760
04:35:06 AM 323740968 389084028   2575260      0.65    857096  64878692  45901772     11.38  42443720  24373920       848   1247980   2821768     10000     15836    861664
04:35:11 AM 323685132 389029248   2630272      0.67    857096  64879724  53302036     13.22  42443912  24436536       772   1309944   2821560      9984     16936    861640
04:35:16 AM 323713152 389059016   2599980      0.66    857096  64881464  49601512     12.30  42444088  24407660       544   1279316   2822092      9952     15960    861640
04:35:21 AM 323689076 389035840   2622768      0.66    857096  64882312  53314940     13.22  42444264  24440088       784   1311336   2822532      9984     16960    861688
04:35:26 AM 323728352 389076388   2582200      0.65    857096  64883580  46778020     11.60  42444396  24389808       520   1259636   2822556      9968     16116    861736
04:35:31 AM 323720704 389070324   2589104      0.66    857096  64885156  49605784     12.30  42444592  24411532      1396   1280112   2821724      9968     16384    861752
04:35:36 AM 323683248 389034044   2625776      0.66    857096  64886332  53287136     13.21  42444796  24443944       748   1311376   2821332      9984     16956    861704
04:35:41 AM 323723888 389076132   2584276      0.65    857096  64887712  49605940     12.30  42444972  24412228       424   1278628   2820812      9984     16184    861688
04:35:46 AM 323749220 389103124   2556928      0.65    857096  64889304  45902032     11.38  42445124  24383608       372   1248636   2821236      9968     15744    861752
04:35:51 AM 323711536 389066388   2592404      0.66    857096  64890180  50477652     12.52  42445304  24426200       120   1290472   2822568      9984     16528    861704
