Timestamp,CPU,CPU MHz,module,event
2024-01-22 15:07:10,2,800.0,rigidbody,start
2024-01-22 15:07:10,3,2100.0,rigidbody,start
2024-01-22 15:07:10,4,800.0,rigidbody,start
2024-01-22 15:07:10,5,800.0,rigidbody,start
2024-01-22 15:07:10,6,1400.0,rigidbody,start
2024-01-22 15:07:10,7,800.0,rigidbody,start
2024-01-22 15:07:10,8,800.0,rigidbody,start
2024-01-22 15:07:10,9,800.0,rigidbody,start
2024-01-22 15:07:10,10,800.0,rigidbody,start
2024-01-22 15:07:10,11,800.0,rigidbody,start
2024-01-22 15:07:10,12,800.0,rigidbody,start
2024-01-22 15:07:10,13,800.0,rigidbody,start
2024-01-22 15:07:10,14,800.0,rigidbody,start
2024-01-22 15:07:10,15,800.0,rigidbody,start
2024-01-22 15:07:10,16,938.118,rigidbody,start
2024-01-22 15:07:10,17,800.0,rigidbody,start
2024-01-22 15:07:10,18,800.0,rigidbody,start
2024-01-22 15:07:10,19,800.0,rigidbody,start
2024-01-22 15:07:10,20,800.0,rigidbody,start
2024-01-22 15:07:10,21,2100.0,rigidbody,start
2024-01-22 15:07:10,22,800.0,rigidbody,start
2024-01-22 15:07:10,23,1532.55,rigidbody,start
2024-01-22 15:07:10,24,800.0,rigidbody,start
2024-01-22 15:07:10,25,800.0,rigidbody,start
2024-01-22 15:07:10,26,800.0,rigidbody,start
2024-01-22 15:07:10,27,800.0,rigidbody,start
2024-01-22 15:07:10,28,800.0,rigidbody,start
2024-01-22 15:07:10,29,800.0,rigidbody,start
2024-01-22 15:07:10,30,800.0,rigidbody,start
2024-01-22 15:07:10,31,800.0,rigidbody,start
2024-01-22 15:07:15,0,800.0,rigidbody,start
2024-01-22 15:07:15,1,808.09,rigidbody,start
2024-01-22 15:07:15,2,800.0,rigidbody,start
2024-01-22 15:07:15,3,800.0,rigidbody,start
2024-01-22 15:07:15,4,800.0,rigidbody,start
2024-01-22 15:07:15,5,800.0,rigidbody,start
2024-01-22 15:07:15,6,800.0,rigidbody,start
2024-01-22 15:07:15,7,2000.0,rigidbody,start
2024-01-22 15:07:15,8,800.0,rigidbody,start
2024-01-22 15:07:15,9,800.0,rigidbody,start
2024-01-22 15:07:15,10,800.0,rigidbody,start
2024-01-22 15:07:15,11,800.0,rigidbody,start
2024-01-22 15:07:15,12,1800.0,rigidbody,start
2024-01-22 15:07:15,13,800.0,rigidbody,start
2024-01-22 15:07:15,14,800.0,rigidbody,start
2024-01-22 15:07:15,15,800.0,rigidbody,start
2024-01-22 15:07:15,16,800.0,rigidbody,start
2024-01-22 15:07:15,17,800.0,rigidbody,start
2024-01-22 15:07:15,18,934.693,rigidbody,start
2024-01-22 15:07:15,19,800.0,rigidbody,start
