Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:22:42 PM  49319644 389359736   1450656      0.37   4007576 326092860   3147664      0.78 150263128 180001184         0    191788  13988404      8384      4456    301296
02:22:47 PM  49317012 389359008   1451440      0.37   4007576 326094688   3151884      0.78 150263132 180004932        48    193760  13988424      8416      4560    301336
02:22:52 PM  49315560 389359124   1451248      0.37   4007576 326096232   3147920      0.78 150263128 180004696        16    191968  13988524      8384      4456    301312
02:22:57 PM  49313788 389358740   1451596      0.37   4007576 326097588   3151824      0.78 150263128 180007756       184    193652  13988592      8400      4512    301344
02:23:02 PM  49313080 389359560   1450748      0.37   4007576 326099048   3151956      0.78 150263132 180009512       180    194020  13988688      8416      4572    301352
02:23:07 PM  49311776 389359784   1450600      0.37   4007576 326100512   3148052      0.78 150263128 180009304       260    192236  13988676      8368      4460    301312
02:23:12 PM  49309604 389359412   1451032      0.37   4007576 326102252   3148052      0.78 150263128 180011112        24    192328  13988676      8368      4460    301312
02:23:17 PM  49307892 389359152   1451300      0.37   4007576 326103632   3148052      0.78 150263128 180012600        28    192408  13988740      8368      4460    301280
02:23:22 PM  49305680 389358376   1452064      0.37   4007576 326105036   3148440      0.78 150263132 180014732       144    193184  13988784      8400      4568    301296
02:23:27 PM  49303972 389358420   1452016      0.37   4007576 326106732   3152660      0.78 150263132 180018084       268    194812  13988844      8400      4568    301320
02:23:32 PM  49302304 389358116   1452368      0.37   4007576 326108032   3148440      0.78 150263128 180017276       196    192712  13988860      8368      4460    301296
02:23:37 PM  49292948 389350460   1459900      0.37   4007576 326109664   3148696      0.78 150263128 180019140       208    192928  13989052      8368      4460    301280
02:23:42 PM  49293032 389351840   1458536      0.37   4007576 326110896   3148696      0.78 150263128 180020448         4    193016  13989100      8368      4460    301296
02:23:47 PM  49291352 389351788   1458572      0.37   4007576 326112460   3148828      0.78 150263128 180022124       152    193108  13989180      8368      4456    301296
02:23:52 PM  49289976 389352104   1458320      0.37   4007576 326114092   3153048      0.78 150263132 180025960       164    195392  13989176      8400      4576    301352
02:23:57 PM  49287492 389350916   1459336      0.37   4007576 326115364   3153304      0.78 150263132 180027344       192    195452  13989372      8400      4576    301384
02:24:02 PM  49288276 389352844   1457432      0.37   4007576 326116460   3149220      0.78 150263128 180026332        12    193336  13989396      8368      4460    301328
02:24:07 PM  49288308 389354536   1455772      0.37   4007576 326118068   3157844      0.78 150263136 180032464        16    197904  13989416      8432      4696    301392
02:24:12 PM  49284444 389352016   1458336      0.37   4007576 326119392   3149220      0.78 150263128 180029460       208    193556  13989392      8368      4456    301344
02:24:17 PM  49282448 389351516   1458800      0.37   4007576 326120828   3153380      0.78 150263132 180032548       176    195284  13989488      8400      4584    301352
02:24:22 PM  49281464 389351852   1458616      0.37   4007576 326122088   3149476      0.78 150263132 180032996       276    194412  13989396      8400      4580    301328
02:24:27 PM  49282176 389353864   1456628      0.37   4007576 326123332   3149476      0.78 150263128 180033672       328    193812  13989428      8368      4460    301328
02:24:32 PM  49281780 389354580   1455920      0.37   4007576 326124404   3149608      0.78 150263128 180034836        52    193880  13989460      8368      4464    301312
02:24:37 PM  49281080 389355600   1454816      0.37   4007576 326126064   3149608      0.78 150263128 180036612        40    194000  13989604      8384      4464    301312
02:24:42 PM  49275520 389351604   1458896      0.37   4007576 326127560   3149864      0.78 150263128 180038216        20    194104  13989588      8384      4464    301312
02:24:47 PM  49274480 389351860   1458556      0.37   4007576 326128828   3149864      0.78 150263128 180039564         8    194188  13989700      8384      4464    301296
02:24:52 PM  49273284 389352276   1458188      0.37   4007576 326130344   3149996      0.78 150263128 180041176         8    194284  13989748      8384      4460    301296
02:24:57 PM  49272084 389352224   1458164      0.37   4007576 326131504   3154472      0.78 150263132 180044508         4    196564  13989812      8416      4568    301304
02:25:02 PM  49286872 389368860   1441652      0.37   4007576 326133276   3150252      0.78 150263128 180044288       320    194480  13989764      8384      4468    301264
02:25:07 PM  49285696 389368872   1441604      0.37   4007576 326134404   3150252      0.78 150263128 180045796       344    194900  13989860      8400      4520    301280
02:25:12 PM  49284492 389369232   1441252      0.37   4007576 326135896   3154472      0.78 150263132 180049232       184    196848  13989924      8416      4584    301320
02:25:17 PM  49283784 389369716   1440736      0.36   4007576 326137104   3150384      0.78 150263128 180048328       268    194740  13989940      8384      4460    301312
02:25:22 PM  49281688 389369272   1441204      0.36   4007576 326138652   3154860      0.78 150263132 180052088       172    197024  13990020      8416      4576    301336
02:25:27 PM  49279720 389368804   1441688      0.37   4007576 326140088   3150792      0.78 150263128 180051556         8    194976  13990068      8384      4464    301312
02:25:32 PM  49278256 389368760   1441668      0.37   4007576 326141436   3155012      0.78 150263132 180055168         4    197232  13990204      8416      4592    301336
02:25:37 PM  49278044 389369648   1440792      0.36   4007576 326142508   3150792      0.78 150263128 180054140         4    195084  13990220      8384      4460    301312
02:25:42 PM  49277616 389370612   1439812      0.36   4007576 326143836   3151048      0.78 150263128 180055556         8    195172  13990300      8384      4464    301312
02:25:47 PM  49276512 389371388   1438976      0.36   4007576 326145664   3151048      0.78 150263128 180057488       184    195300  13990412      8384      4464    301328
02:25:52 PM  49275996 389372440   1437984      0.36   4007576 326147156   3151048      0.78 150263128 180059092        48    195388  13990428      8384      4464    301312
02:25:57 PM  49275588 389373296   1437108      0.36   4007576 326148392   3155524      0.78 150263132 180062540       264    197668  13990476      8416      4576    301320
02:26:02 PM  49272928 389372168   1438224      0.36   4007576 326149856   3151436      0.78 150263128 180061976        48    195584  13990556      8384      4464    301296
02:26:07 PM  49272448 389372984   1437408      0.36   4007576 326151120   3151436      0.78 150263128 180063332         8    195668  13990588      8384      4464    301328
02:26:12 PM  49270156 389372228   1438168      0.36   4007576 326152588   3151436      0.78 150263128 180064912        12    195772  13990652      8384      4464    301344
02:26:17 PM  49268376 389371968   1438392      0.36   4007576 326154080   3151692      0.78 150263128 180066484       132    195864  13990716      8384      4460    301328
02:26:22 PM  49266404 389371808   1438552      0.36   4007576 326155796   3151824      0.78 150263128 180068336        32    195992  13990812      8384      4460    301312
02:26:27 PM  49263992 389371308   1439092      0.36   4007576 326157652   3151824      0.78 150263128 180070300       192    196108  13990828      8368      4464    301312
02:26:32 PM  49262000 389370880   1439512      0.36   4007576 326159144   3151824      0.78 150263128 180071904        52    196212  13990908      8368      4464    301312
02:26:37 PM  49259956 389370300   1440052      0.36   4007576 326160576   3156300      0.78 150263132 180075552       288    198488  13990980      8416      4580    301304
02:26:42 PM  49258512 389370584   1440084      0.36   4007576 326162236   3152212      0.78 150263128 180075228        40    196432  13990732      8384      4460    301264
02:26:47 PM  49255920 389369656   1440996      0.36   4007576 326163844   3156432      0.78 150263132 180079076       156    198764  13990804      8416      4576    301288
