Linux 5.15.0-91-generic (gl5) 	02/01/2024 	_x86_64_	(32 CPU)

05:11:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:13:33 AM 282905936 389749280   1895684      0.48   1571692 104558684   4310388      1.07  46795156  59941892      1204    635020   3926552      9840      6552    279408
05:13:38 AM 282909484 389753744   1891232      0.48   1571692 104559556   4301948      1.07  46795156  59938772       204    630876   3926584      9760      6356    279392
05:13:43 AM 282903024 389748096   1896924      0.48   1571692 104560192   4305852      1.07  46795152  59941076      1176    632656   3926716      9792      6456    279416
05:13:48 AM 282903232 389749468   1895620      0.48   1571692 104561288   4310072      1.07  46795160  59943776         8    634780   3926716      9808      6500    279392
05:13:53 AM 282897360 389744856   1900328      0.48   1571692 104562372   4302084      1.07  46795160  59941932      1448    631304   3926796      9824      6324    279392
05:13:58 AM 282899252 389747940   1897140      0.48   1571692 104563532   4302084      1.07  46795160  59942784       580    631044   3926932      9792      6412    279392
05:14:03 AM 282896724 389746308   1898792      0.48   1571692 104564396   4305520      1.07  46795152  59945520       640    632912   3926944      9760      6392    279368
05:14:08 AM 282904116 389754584   1890560      0.48   1571692 104565216   4310524      1.07  46795168  59948804      1580    635396   3926964      9824      6568    279360
05:14:13 AM 282910888 389762132   1883220      0.48   1571692 104565956   4305988      1.07  46795160  59946928       592    632792   3926792      9808      6444    279368
05:14:18 AM 282912688 389765020   1880512      0.48   1571692 104566964   4306304      1.07  46795164  59948436      1352    633264   3926692      9792      6480    279336
05:14:23 AM 282917040 389770624   1875008      0.47   1571692 104568144   4302084      1.07  46795164  59947856       416    631532   3926664      9728      6356    279296
05:14:28 AM 282910432 389765076   1880376      0.48   1571692 104569124   4302084      1.07  46795164  59948576      1320    631228   3926924      9744      6340    279328
05:14:33 AM 282911284 389766792   1878760      0.48   1571696 104569944   4302216      1.07  46795164  59949316       368    631132   3926864      9728      6304    279312
05:14:38 AM 282928364 389785384   1860296      0.47   1571696 104571328   4302216      1.07  46795176  59951236      1316    631664   3926864      9760      6428    279328
05:14:43 AM 282913012 389770672   1874928      0.47   1571696 104571960   4331320      1.07  46795188  59964232       336    644172   3926952      9856      6712    279352
05:14:48 AM 282900700 389759720   1885644      0.48   1571696 104573100   4306436      1.07  46795188  59955176      1356    633876   3927408      9760      6516    279320
05:14:53 AM 282905968 389765776   1879600      0.48   1571696 104573836   4302216      1.07  46795176  59953416       220    631340   3927448      9744      6360    279280
05:14:58 AM 282905540 389766548   1878772      0.48   1571696 104574928   4306436      1.07  46795180  59956652      1252    633544   3927612      9744      6444    279336
05:15:03 AM 282904332 389766492   1879156      0.48   1571696 104576028   4314244      1.07  46795184  59961320       372    637224   3927336      9840      6672    279368
05:15:08 AM 282896220 389759456   1886120      0.48   1571696 104577080   4306252      1.07  46795180  59957956      1284    632768   3927432      9728      6392    279352
05:15:13 AM 282890816 389754888   1890688      0.48   1571696 104577844   4323012      1.07  46795188  59970520       304    644504   3927504      9744      6460    279368
05:15:18 AM 282883088 389748116   1897388      0.48   1571696 104578704   4314692      1.07  46795200  59964300      1312    637480   3927672      9808      6672    279416
05:15:23 AM 282892524 389758576   1886920      0.48   1571696 104579688   4302348      1.07  46795184  59959276       196    631432   3927720      9696      6336    279296
05:15:28 AM 282885944 389752968   1892552      0.48   1571696 104580548   4302348      1.07  46795184  59960216      1144    631452   3927808      9696      6332    279312
05:15:33 AM 282887132 389755140   1890388      0.48   1571696 104581476   4302348      1.07  46795188  59961168         4    631476   3927856      9696      6336    279264
05:15:38 AM 282882140 389751528   1893976      0.48   1571696 104582616   4302348      1.07  46795188  59961856      1032    630908   3928120      9776      6040    279264
05:15:43 AM 282883604 389753844   1891732      0.48   1571696 104583508   4302496      1.07  46795192  59963228        16    631532   3928008      9696      6336    279232
05:15:48 AM 282885548 389756524   1889056      0.48   1571696 104584216   4305616      1.07  46795192  59965728       264    633292   3928032      9712      6424    279208
05:15:53 AM 282889260 389761052   1884564      0.48   1571696 104585148   4306716      1.07  46795196  59967088       996    633764   3927880      9728      6452    279304
05:15:58 AM 282894496 389767248   1878340      0.48   1571696 104586044   4302496      1.07  46795192  59965848       292    631568   3927972      9696      6332    279264
05:16:03 AM 282894316 389767920   1877616      0.48   1571696 104586820   4302496      1.07  46795196  59966612       956    631624   3928100      9728      6404    279248
05:16:08 AM 282895752 389770416   1875084      0.47   1571696 104587836   4302496      1.07  46795196  59967556       280    631536   3928180      9728      6368    279264
05:16:13 AM 282891388 389767080   1878212      0.48   1571696 104588800   4306716      1.07  46795204  59970804      1120    633828   3928452      9712      6460    279256
05:16:18 AM 282892948 389769400   1875988      0.48   1571696 104589504   4306716      1.07  46795204  59971520       416    633848   3928412      9712      6460    279256
05:16:23 AM 282890732 389768036   1877424      0.48   1571696 104590312   4318564      1.07  46795212  59977696       804    639256   3928384      9760      6676    279360
05:16:28 AM 282895180 389773264   1872152      0.47   1571696 104591056   4302632      1.07  46795208  59970876       388    631704   3928464      9664      6324    279232
05:16:33 AM 282871180 389750140   1895548      0.48   1571696 104591848   4312036      1.07  46795212  59976700      1300    636720   3928276      9728      6520    279280
05:16:38 AM 282876172 389756060   1889748      0.48   1571696 104592728   4303912      1.07  46795208  59973896       308    632988   3928204      9680      6340    279264
05:16:43 AM 282891404 389772280   1873564      0.47   1571696 104593544   4303912      1.07  46795208  59974740       720    633004   3928340      9664      6340    279296
05:16:48 AM 282881512 389763280   1882464      0.48   1571696 104594400   4312352      1.07  46795220  59980096       324    637660   3928476      9744      6640    279296
05:16:53 AM 282889496 389772204   1873480      0.47   1571696 104595276   4303912      1.07  46795208  59976540       832    633096   3928600      9664      6340    279264
05:16:58 AM 282891044 389774612   1871112      0.47   1571696 104596044   4303912      1.07  46795208  59977360       164    633108   3928652      9664      6344    279264
05:17:03 AM 282881896 389766188   1879552      0.48   1571696 104597020   4308132      1.07  46795204  59980480       896    635264   3928384      9728      6480    279304
05:17:08 AM 282887200 389772408   1873352      0.47   1571696 104597900   4304044      1.07  46795208  59979172       172    633112   3928400      9632      6276    279232
05:17:13 AM 282881052 389766928   1878564      0.48   1571696 104598568   4304044      1.07  46795212  59979940       780    633152   3928668      9696      6348    279312
05:17:18 AM 282880556 389767240   1878228      0.48   1571696 104599360   4308264      1.07  46795212  59982672       580    635136   3928708      9696      6428    279272
05:17:23 AM 282881776 389769432   1876024      0.48   1571696 104600336   4308264      1.07  46795232  59984640       860    636060   3928716      9824      6408    279352
05:17:28 AM 282885632 389774716   1870868      0.47   1571696 104601672   4304044      1.07  46795216  59982776       188    632872   3928680      9664      6344    279280
05:17:33 AM 282885980 389776192   1869392      0.47   1571696 104602748   4303260      1.07  46795216  59983848       520    632892   3928732      9664      6316    279216
05:17:38 AM 282887084 389778396   1867128      0.47   1571696 104603880   4304176      1.07  46795216  59985028      1144    632936   3928760      9680      6316    279264
05:17:43 AM 282888800 389781424   1864116      0.47   1571696 104605128   4304176      1.07  46795224  59986392       372    633076   3928808      9664      6348    279248
05:17:48 AM 282889240 389783292   1862480      0.47   1571696 104606480   4304176      1.07  46795224  59987752      1164    633140   3928652      9712      6388    279248
05:17:53 AM 282882232 389777428   1868368      0.47   1571696 104607552   4312616      1.07  46795240  59993580       500    637984   3928700      9792      6668    279280
05:17:58 AM 282887520 389783520   1862252      0.47   1571696 104608356   4308396      1.07  46795236  59992068      1260    635556   3928724      9776      6544    279320
05:18:03 AM 282891936 389789320   1856468      0.47   1571696 104609652   4304176      1.07  46795232  59991084       452    633276   3928796      9728      6428    279280
05:18:08 AM 282884356 389783360   1862316      0.47   1571696 104611204   4304308      1.07  46795224  59992376       984    632964   3928976      9680      6320    279296
05:18:13 AM 282882492 389782812   1862960      0.47   1571696 104612416   4304308      1.07  46795240  59994004       212    633460   3928984      9696      6384    279280
05:18:18 AM 282874540 389775640   1869764      0.47   1571696 104613164   4312432      1.07  46795240  59998608      1228    637328   3929384      9760      6592    279312
05:18:23 AM 282870684 389773104   1872200      0.47   1571696 104614400   4328876      1.07  46795244  60016096       364    653620   3929568      9744      6596    279296
05:18:28 AM 282872384 389776216   1869036      0.47   1571696 104615700   4304308      1.07  46795236  59997280      1132    633408   3929732      9712      6388    279312
05:18:33 AM 282873360 389778380   1866880      0.47   1571696 104616832   4304452      1.07  46795232  59998280       160    633220   3929780      9680      6320    279248
05:18:38 AM 282875596 389782036   1863200      0.47   1571696 104618240   4304452      1.07  46795240  59999740      1212    633348   3929816      9696      6356    279248
05:18:43 AM 282874248 389782408   1862968      0.47   1571696 104619868   4306404      1.07  46795244  60003020       192    635012   3929768      9728      6444    279264
05:18:48 AM 282853932 389763848   1881492      0.48   1571696 104621500   4308672      1.07  46795248  60005280      1260    635620   3929928      9728      6480    279288
05:18:53 AM 282855976 389767324   1878152      0.48   1571696 104622824   4308356      1.07  46795244  60006096       216    635172   3929900      9712      6468    279256
05:18:58 AM 282852724 389765032   1880668      0.48   1571696 104623792   4304452      1.07  46795240  60005416      1148    633448   3929668      9696      6360    279296
05:19:03 AM 282852428 389765596   1880136      0.48   1571696 104624580   4304584      1.07  46795244  60006124         8    633280   3929708      9648      6248    279280
05:19:08 AM 282851576 389765916   1879816      0.48   1571696 104625660   4304584      1.07  46795248  60007452      1148    633808   3929800     10032      6148    279344
05:19:13 AM 282851816 389766816   1878840      0.48   1571696 104626404   4308488      1.07  46795248  60009224       144    635196   3929792      9728      6392    279288
05:19:18 AM 282841804 389757664   1888008      0.48   1571696 104627240   4303800      1.07  46795244  60008748       428    633320   3929800      9664      6288    279248
05:19:23 AM 282847784 389764372   1881336      0.48   1571696 104627904   4308488      1.07  46795256  60011672      1476    635600   3929828      9744      6460    279256
05:19:28 AM 282846676 389764196   1881564      0.48   1571696 104628784   4308804      1.07  46795256  60012856       392    635940   3929828      9744      6468    279288
05:19:33 AM 282847260 389766184   1879424      0.48   1571696 104630080   4316928      1.07  46795272  60018200      1628    640048   3930088      9840      6748    279352
05:19:38 AM 282851576 389771756   1873960      0.47   1571696 104631244   4308936      1.07  46795260  60015360       448    635964   3930072      9744      6484    279336
05:19:43 AM 282854272 389775708   1870004      0.47   1571696 104632500   4304716      1.07  46795260  60014368      1424    633784   3930076      9712      6356    279296
05:19:48 AM 282850880 389773580   1872212      0.47   1571696 104633704   4308936      1.07  46795264  60017852       396    636056   3930056      9776      6548    279288
05:19:53 AM 282843976 389767996   1877784      0.48   1571696 104634820   4304716      1.07  46795256  60016712      1416    633712   3930272      9696      6328    279248
05:19:58 AM 282844464 389769652   1876180      0.48   1571696 104635920   4304716      1.07  46795264  60017944       228    633896   3930288      9744      6436    279264
05:20:03 AM 282844876 389771240   1874692      0.47   1571696 104636936   4304716      1.07  46795260  60018904      1276    633868   3930348      9712      6356    279280
05:20:08 AM 282841796 389769408   1876536      0.48   1571696 104638088   4309068      1.07  46795268  60022268       300    636112   3930432      9744      6476    279288
05:20:13 AM 282841308 389769944   1876088      0.48   1571696 104639044   4304848      1.07  46795272  60021228      1124    634056   3930412      9712      6396    279296
05:20:18 AM 282842360 389772020   1874048      0.47   1571696 104640000   4304848      1.07  46795268  60022092       188    633980   3930444      9728      6428    279264
05:20:23 AM 282842020 389772500   1873592      0.47   1571696 104641172   4304848      1.07  46795268  60023260      1156    633972   3930068      9712      6360    279328
05:20:28 AM 282842436 389774016   1872104      0.47   1571696 104642208   4309068      1.07  46795276  60026504       280    636196   3930104      9744      6468    279336
05:20:33 AM 282842356 389775320   1870488      0.47   1571696 104643484   4306800      1.07  46795276  60027188      1224    635620   3930524      9728      6408    279376
05:20:38 AM 282840776 389774828   1870876      0.47   1571696 104644508   4317008      1.07  46795292  60032336       192    639892   3930692      9824      6764    279384
05:20:43 AM 282838932 389774592   1870996      0.47   1571696 104645976   4306004      1.07  46795268  60028216      1184    634076   3930948      9712      6364    279328
05:20:48 AM 282840308 389777176   1868464      0.47   1571696 104647100   4306004      1.07  46795276  60029364       168    634100   3930980      9712      6364    279264
05:20:53 AM 282840224 389778196   1867448      0.47   1571696 104648120   4306004      1.07  46795268  60030820      1116    635032   3931060      9968      6168    279264
05:20:58 AM 282837732 389776960   1868688      0.47   1571696 104649292   4310224      1.07  46795280  60033768       236    636332   3931140      9712      6436    279272
05:21:03 AM 282840296 389780876   1864824      0.47   1571696 104650600   4305220      1.07  46795276  60032876       104    634168   3931132      9712      6364    279200
05:21:08 AM 282840416 389782508   1863160      0.47   1571696 104651992   4306136      1.07  46795280  60034316      1412    634196   3931284      9712      6372    279312
05:21:13 AM 282839784 389782948   1862712      0.47   1571696 104653012   4306136      1.07  46795276  60035304       420    634152   3931344      9728      6384    279312
05:21:18 AM 282835012 389779304   1866308      0.47   1571696 104654088   4308088      1.07  46795284  60038084      1484    635876   3931444      9744      6456    279344
05:21:23 AM 282834444 389779552   1865988      0.47   1571696 104654856   4310040      1.07  46795280  60038408       484    635980   3931564      9680      6340    279288
05:21:28 AM 282821740 389767884   1877792      0.48   1571704 104655800   4310356      1.07  46795304  60040408      1440    636488   3931512      9760      6484    279352
05:21:33 AM 282821460 389768408   1877336      0.48   1571704 104656560   4306136      1.07  46795296  60038972       380    634308   3931488      9744      6400    279296
05:21:38 AM 282815444 389763736   1882060      0.48   1571704 104657772   4306268      1.07  46795304  60040316      1268    634436   3931568      9744      6432    279312
05:21:43 AM 282814596 389764160   1881644      0.48   1571704 104658956   4306268      1.07  46795300  60041416       196    634332   3931648      9712      6368    279296
05:21:48 AM 282809424 389760336   1885248      0.48   1571704 104660104   4318664      1.07  46795312  60048776      1312    640656   3932068      9808      6732    279368
05:21:53 AM 282809812 389761788   1883808      0.48   1571704 104661116   4306268      1.07  46795304  60043596       316    634412   3932108      9712      6360    279264
05:21:58 AM 282805112 389758884   1886672      0.48   1571704 104662808   4310428      1.07  46795312  60047780      1292    636448   3932252      9744      6528    279304
05:22:03 AM 282805868 389761432   1884268      0.48   1571704 104664504   4306656      1.07  46795300  60047036       356    634416   3932204      9664      6264    279200
05:22:08 AM 282807572 389764928   1880860      0.48   1571704 104666116   4306656      1.07  46795308  60048596      1288    634372   3932296      9712      6368    279264
05:22:13 AM 282807828 389766808   1878924      0.48   1571704 104667676   4306656      1.07  46795308  60050224       212    634452   3932416      9712      6360    279264
05:22:18 AM 282801800 389762564   1883184      0.48   1571704 104669296   4306656      1.07  46795304  60051956      1148    634508   3932564      9728      6356    279296
05:22:23 AM 282804488 389766972   1878856      0.48   1571704 104670928   4307064      1.07  46795312  60053864       200    634848   3932572      9744      6388    279264
05:22:28 AM 282797780 389762260   1883492      0.48   1571704 104672652   4311284      1.07  46795312  60057800      1348    637056   3932920      9728      6484    279304
05:22:33 AM 282797472 389763796   1881932      0.48   1571704 104674368   4307064      1.07  46795312  60057408       184    634940   3933072      9696      6368    279264
05:22:38 AM 282805172 389773360   1872324      0.47   1571704 104676120   4307064      1.07  46795316  60059260      1340    635112   3933228      9760      6372    279248
05:22:43 AM 282798656 389768304   1877584      0.48   1571704 104677472   4315576      1.07  46795324  60064216       272    639232   3933132      9728      6536    279248
05:22:48 AM 282796024 389767536   1878436      0.48   1571704 104679280   4310572      1.07  46795316  60063512        12    636596   3933104      9680      6332    279176
05:22:53 AM 282785168 389758604   1887268      0.48   1571704 104681032   4307452      1.07  46795320  60064388        20    635296   3933376      9696      6364    279184
05:22:58 AM 282782496 389758004   1887892      0.48   1571704 104682972   4307452      1.07  46795324  60067204       164    636108   3933484      9728      6488    279216
05:23:03 AM 282784076 389761548   1884336      0.48   1571704 104684812   4307584      1.07  46795316  60068308      1656    635392   3933620      9680      6332    279248
05:23:08 AM 282783396 389762648   1883252      0.48   1571704 104686496   4307840      1.07  46795320  60070208       336    635588   3933700      9680      6372    279232
05:23:13 AM 282777860 389759100   1886876      0.48   1571704 104688308   4307840      1.07  46795324  60072072      1540    635680   3933800      9680      6364    279200
05:23:18 AM 282776936 389760088   1885868      0.48   1571704 104690112   4307972      1.07  46795324  60073968       288    635784   3933928      9680      6368    279216
05:23:23 AM 282777372 389762592   1883160      0.48   1571704 104692020   4307972      1.07  46795328  60075968      1436    635876   3934292      9696      6368    279264
05:23:28 AM 282776276 389763016   1882756      0.48   1571704 104693480   4312132      1.07  46795028  60079484       400    637688   3934332      9680      6376    279304
05:23:33 AM 282758672 389747444   1898184      0.48   1571704 104695336   4312448      1.07  46795036  60081976      1420    638276   3934652      9712      6492    279288
05:23:38 AM 282757520 389748216   1897360      0.48   1571704 104697140   4312580      1.07  46795036  60083780       352    638316   3934824      9712      6476    279320
05:23:43 AM 282759164 389751876   1893496      0.48   1571704 104699028   4308360      1.07  46795032  60083608      1204    636216   3935156      9664      6364    279232
05:23:48 AM 282758856 389753528   1891792      0.48   1571704 104700904   4308360      1.07  46795032  60085580       220    636328   3935292      9696      6400    279248
05:23:53 AM 282752804 389749588   1895700      0.48   1571704 104702796   4308616      1.07  46795036  60087640      1248    636432   3935544      9680      6368    279328
05:23:58 AM 282749672 389748172   1897140      0.48   1571704 104704436   4317188      1.07  46795044  60093648       328    640916   3935596      9744      6592    279312
05:24:03 AM 282746572 389748124   1897340      0.48   1571704 104707432   4308748      1.07  46795032  60092256      1672    636476   3935500      9696      6380    279296
05:24:08 AM 282737424 389740776   1904796      0.48   1571708 104709088   4312968      1.07  46795044  60096348       200    638884   3935532      9728      6552    279304
05:24:13 AM 282724928 389730836   1914600      0.48   1571712 104711460   4313356      1.07  46795048  60098796      1328    638984   3935848      9712      6504    279352
05:24:18 AM 282725828 389733784   1911684      0.48   1571712 104713336   4313040      1.07  46795048  60100320        16    638672   3935988      9744      6532    279288
05:24:23 AM 282699744 389709592   1935820      0.49   1571712 104715120   4317576      1.07  46795056  60105864      1028    642556   3936152     10160      6624    279392
05:24:28 AM 282705476 389717164   1928244      0.49   1571716 104716740   4309136      1.07  46795052  60102240       196    637216   3936372      9696      6420    279280
05:24:33 AM 282706652 389720392   1925076      0.49   1571716 104718672   4308740      1.07  46795056  60104336       600    637300   3936432      9680      6380    279216
05:24:38 AM 282705984 389721800   1923824      0.49   1571716 104720620   4309524      1.07  46795060  60106404      1376    637432   3936404      9680      6384    279280
05:24:43 AM 282704780 389722464   1923140      0.49   1571716 104722364   4309524      1.07  46795064  60108256       396    637516   3936548      9680      6384    279280
05:24:48 AM 282702748 389722496   1923088      0.49   1571716 104724312   4309656      1.07  46795060  60110228      1388    637540   3936684      9696      6380    279280
05:24:53 AM 282703692 389725040   1920612      0.49   1571716 104725840   4309912      1.07  46795064  60111892       420    637688   3936688      9632      6320    279296
05:24:58 AM 282707836 389731536   1914196      0.48   1571716 104728064   4309912      1.07  46795068  60114212      1396    637804   3936736      9680      6388    279232
05:25:03 AM 282703888 389729616   1916120      0.49   1571716 104729952   4318168      1.07  46795072  60120060       492    641836   3936872      9712      6512    279248
05:25:08 AM 282700244 389728072   1917568      0.49   1571716 104731888   4314264      1.07  46795072  60120440      1336    640192   3937132      9712      6512    279272
05:25:13 AM 282702660 389732376   1913356      0.48   1571716 104733660   4313948      1.07  46795080  60121956       204    640092   3937156      9712      6500    279288
05:25:18 AM 282705020 389736428   1909064      0.48   1571716 104735336   4310300      1.07  46795072  60121800      1284    638188   3937412      9680      6380    279216
05:25:23 AM 282705944 389739260   1906284      0.48   1571716 104737100   4314336      1.07  46795072  60124792       216    639836   3937504      9696      6412    279224
05:25:28 AM 282698280 389733892   1911800      0.48   1571716 104739264   4314652      1.07  46795080  60128268      1244    640744   3937488      9696      6524    279240
05:25:33 AM 282699192 389736616   1909180      0.48   1571716 104740984   4314652      1.07  46795076  60129992       300    640628   3937476      9712      6536    279256
05:25:38 AM 282700748 389740088   1905680      0.48   1571716 104742816   4314908      1.07  46795080  60131944      1288    640828   3937588      9664      6444    279224
05:25:43 AM 282700300 389742064   1903712      0.48   1571716 104745080   4310820      1.07  46795080  60132160       208    638752   3937740      9664      6352    279184
05:25:48 AM 282697968 389741940   1903708      0.48   1571720 104747140   4311076      1.07  46795084  60134476      1236    638980   3938012      9648      6348    279232
05:25:53 AM 282696552 389742376   1903252      0.48   1571720 104748892   4311076      1.07  46795080  60136100       188    638864   3938132      9632      6288    279200
05:25:58 AM 282686684 389734908   1910796      0.48   1571720 104751104   4315112      1.07  46795092  60140680      1120    641284   3938244      9712      6536    279304
05:26:03 AM 282675944 389726048   1919684      0.49   1571720 104752880   4315684      1.07  46795092  60142704       172    641480   3938320      9712      6500    279304
05:26:08 AM 282677276 389729276   1916464      0.49   1571720 104754664   4315368      1.07  46795084  60144716      1092    641036   3938424      9984      6396    279304
05:26:13 AM 282673388 389727336   1918424      0.49   1571720 104756480   4319728      1.07  46795096  60148240       188    643540   3938536      9776      6664    279248
05:26:18 AM 282674104 389730040   1915848      0.49   1571720 104758364   4310820      1.07  46795084  60146144       476    639400   3938512      9648      6328    279152
05:26:23 AM 282666908 389725164   1920436      0.49   1571720 104760488   4316080      1.07  46795092  60150716      1508    641868   3938996      9728      6492    279352
05:26:28 AM 282671096 389731356   1914200      0.48   1571720 104762372   4311860      1.07  46795100  60151284       440    640564   3939160      9696      6488    279296
05:26:33 AM 282664824 389726924   1918796      0.49   1571720 104764100   4311992      1.07  46795092  60152348      1464    639908   3939108      9696      6392    279280
05:26:38 AM 282666380 389730484   1915224      0.49   1571720 104765988   4312248      1.07  46795096  60154440       368    640140   3939236      9680      6392    279248
05:26:43 AM 282682264 389748596   1897040      0.48   1571720 104768044   4312248      1.07  46795100  60156672      1400    640252   3939480      9680      6388    279280
05:26:48 AM 282681824 389750108   1895500      0.48   1571720 104769904   4312380      1.07  46795092  60158412       304    640140   3939600      9664      6348    279264
05:26:53 AM 282682544 389752732   1892880      0.48   1571720 104771656   4312636      1.07  46795104  60160516       588    640528   3939748      9680      6392    279360
05:26:58 AM 282681796 389753936   1891672      0.48   1571724 104773488   4312636      1.07  46795112  60162964       232    641164   3939868      9696      6488    279360
05:27:03 AM 282677504 389751696   1894128      0.48   1571724 104775404   4316856      1.07  46795112  60166640       660    642984   3939788      9744      6520    279336
05:27:08 AM 282679564 389755760   1890024      0.48   1571724 104777236   4313024      1.07  46795112  60166448       236    640900   3940000      9712      6392    279344
05:27:13 AM 282675156 389753400   1892080      0.48   1571724 104779236   4313024      1.07  46795112  60168624       692    641068   3940352      9728      6428    279312
05:27:18 AM 282667448 389747580   1897912      0.48   1571724 104781004   4316928      1.07  46795112  60172668       304    642872   3940460      9696      6440    279304
05:27:23 AM 282666300 389748468   1897160      0.48   1571724 104782900   4313432      1.07  46795112  60172228      1276    641012   3940464      9680      6396    279264
05:27:28 AM 282666400 389750636   1894980      0.48   1571724 104784840   4317336      1.07  46795120  60176084       180    643012   3940604      9712      6508    279256
05:27:33 AM 282661408 389747408   1898224      0.48   1571724 104786532   4313432      1.07  46795112  60176092       688    641256   3940660      9696      6436    279248
05:27:38 AM 282649704 389737524   1908112      0.48   1571724 104788248   4313688      1.07  46795120  60177948       252    641356   3940760      9680      6392    279232
05:27:43 AM 282647036 389736456   1909396      0.48   1571724 104789728   4317724      1.07  46795116  60181252      1188    643328   3940664      9728      6520    279272
05:27:48 AM 282648972 389740136   1905716      0.48   1571724 104791416   4313820      1.07  46795120  60181304       516    641568   3940720      9696      6400    279248
05:27:53 AM 282640916 389733876   1911968      0.48   1571724 104793104   4314076      1.07  46795116  60183328       548    641820   3940836      9920      6456    279248
05:27:58 AM 282643104 389737832   1908164      0.48   1571724 104794736   4314076      1.07  46795124  60184852       456    641792   3940820      9696      6400    279200
