Linux 5.15.0-91-generic (gl5) 	01/25/2024 	_x86_64_	(32 CPU)

05:25:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:53 AM      14      0.20      0.00      0.20      0.00      0.00     99.60
05:25:53 AM      15      0.00      0.00      0.40      0.00      0.00     99.60
05:25:53 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      19      0.00      0.00      0.20      0.00      0.00     99.80
05:25:53 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
05:25:53 AM      23      0.20      0.00      0.20      0.00      0.00     99.60
05:25:53 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      26      0.20      0.00      0.20      0.00      0.00     99.60
05:25:53 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      28     26.15      0.00      0.40     47.31      0.00     26.15
05:25:53 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM      30      0.20      0.00      0.40      0.00      0.00     99.40
05:25:53 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:25:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:58 AM     all      0.53      0.00      0.10      1.40      0.00     97.97
05:25:58 AM       0      0.00      0.00      0.20      0.00      0.00     99.80
05:25:58 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       6      0.00      0.00      0.20      0.00      0.00     99.80
05:25:58 AM       7      0.00      0.00      0.40      0.00      0.00     99.60
05:25:58 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM       9      0.00      0.00      0.00      2.40      0.00     97.60
05:25:58 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      14      0.20      0.00      0.20      0.00      0.00     99.60
05:25:58 AM      15      0.00      0.00      0.40      0.00      0.00     99.60
05:25:58 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      17      0.00      0.00      0.40      0.00      0.00     99.60
05:25:58 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
05:25:58 AM      21      0.00      0.00      0.20      0.00      0.00     99.80
05:25:58 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      26      0.20      0.00      0.00      0.00      0.00     99.80
05:25:58 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      28     16.67      0.00      0.60     42.57      0.00     40.16
05:25:58 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 AM      30      0.00      0.00      0.40      0.00      0.00     99.60
05:25:58 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:25:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:26:03 AM     all      0.73      0.00      0.19      1.60      0.00     97.48
05:26:03 AM       0      0.20      0.00      0.60      0.00      0.00     99.20
05:26:03 AM       1      0.00      0.00      0.20      0.00      0.00     99.80
05:26:03 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM       8      0.20      0.00      0.40      0.00      0.00     99.40
05:26:03 AM       9      0.00      0.00      0.40      0.60      0.00     99.00
05:26:03 AM      10      0.00      0.00      0.40      0.00      0.00     99.60
05:26:03 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:26:03 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
