Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

01:09:40 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:17:30 PM 340767964 389851348   1963812      0.50   1471108  48223948  66445000     16.48  21680720  28877028       348    890956   2431716     10256     16936    274884
01:17:35 PM 340759908 389843892   1971656      0.50   1471108  48224524  64299636     15.95  21680900  28869796      1128    883440   2431352     10320     16600    274868
01:17:40 PM 340821252 389905580   1912100      0.48   1471112  48224868  42845996     10.63  21681200  28769288       292    782776   2429216     10096     13828    274756
01:17:45 PM 340960156 390044232   1777292      0.45   1471112  48224648   4229444      1.05  21681208  28579648      1068    593452   2425340      9824      5944    274548
01:17:50 PM 340961388 390046296   1775244      0.45   1471112  48225448   4233796      1.05  21681208  28585208       316    598168   2425356      9808      5916    274516
01:17:55 PM 340955956 390043492   1778236      0.45   1471116  48227996   4233796      1.05  21681216  28587724       900    598164   2425244      9824      5920    274548
01:18:00 PM 340956548 390046780   1775052      0.45   1471116  48230572   4233796      1.05  21681216  28590404       368    598216   2425260      9824      5924    274516
01:18:05 PM 340946324 390039204   1782700      0.45   1471120  48233136   4233796      1.05  21681212  28592808       920    598068   2425268      9808      5888    274516
01:18:10 PM 340040832 389137816   2678176      0.68   1471120  48237072 174102012     43.18  21682276  29595224      3932   1598368   2431348     10736     34204    275172
01:18:15 PM 339754256 388851720   2964268      0.75   1471120  48237556 174273380     43.22  21682284  29630524      1072   1633136   2431348     10736     34512    275236
01:18:20 PM 339759136 388856680   2959340      0.75   1471124  48237640 174276196     43.22  21682288  29632612       368   1634800   2431308     10720     34572    275188
01:18:25 PM 339794736 388892496   2923208      0.74   1471124  48237780 174277480     43.22  21682292  29639088      1064   1641388   2431700     10736     34564    275220
01:18:30 PM 339815740 388913904   2901888      0.73   1471128  48238180 174277736     43.22  21682392  29651296       540   1653340   2431612     10736     34556    275188
01:18:35 PM 339829468 388928304   2884196      0.73   1471128  48238948 174277736     43.22  21682392  29655412      1240   1656588   2434808     10848     34692    275188
01:18:40 PM 339907432 389006976   2808788      0.71   1471128  48239512 174341860     43.23  21682412  29678436       332   1678932   2431688     10736     34672    275092
01:18:45 PM 339921636 389021508   2794368      0.71   1471128  48239840 174480416     43.27  21682412  29729412       668   1729928   2431576     10736     34800    275092
01:18:50 PM 339934240 389034544   2781028      0.70   1471128  48240192 174396992     43.25  21682416  29703912       252   1703900   2431960     10736     34808    275172
01:18:55 PM 339924760 389025408   2790128      0.71   1471132  48240560 174396992     43.25  21682416  29705620       576   1705296   2431968     10736     34804    275188
01:19:00 PM 339909632 389010860   2804832      0.71   1471132  48241076 174401936     43.25  21682424  29709124      1272   1708152   2431876     10752     34860    275204
01:19:05 PM 339921568 389023040   2792648      0.71   1471132  48241340 174422300     43.25  21682420  29718740       620   1717644   2431860     10720     34920    275140
01:19:10 PM 339908192 389010356   2805104      0.71   1471136  48241948 174467220     43.27  21682420  29740940      1268   1738900   2432168     10736     34944    275156
01:19:15 PM 339884384 388986808   2828512      0.72   1471140  48242336 174510084     43.28  21682428  29758664       596   1756472   2432176     10736     35100    275044
01:19:20 PM 339873464 388976520   2839040      0.72   1471144  48242780 174533992     43.28  21682432  29772016      1320   1768564   2432120     10752     35084    275092
01:19:25 PM 339872276 388975544   2839868      0.72   1471144  48243188 174533992     43.28  21682436  29772540       508   1769468   2432072     10720     35088    275108
01:19:30 PM 339878732 388982760   2832840      0.72   1471144  48243768 174533992     43.28  21682436  29774352      1260   1770476   2432064     10752     35084    275060
01:19:35 PM 339940408 389044724   2770816      0.70   1471148  48244144 171669932     42.57  21682512  29731700       544   1728316   2432032     10736     34392    275044
01:19:40 PM 339928744 389034172   2780552      0.70   1471148  48244964 167833676     41.62  21682904  29658356      2748   1653748   2433140     10736     33968    275060
01:19:45 PM 339819920 388925816   2889744      0.73   1471148  48245484 174358060     43.24  21683100  29702756       612   1698176   2432252     10736     34408    275044
01:19:50 PM 339788892 388894840   2921044      0.74   1471148  48245408 174315744     43.23  21683284  29683696      2004   1678560   2432056     10720     34572    275092
01:19:55 PM 339776048 388882204   2933428      0.74   1471148  48245552 171518256     42.53  21683476  29682772      1940   1678064   2432372     10768     34128    275060
01:20:00 PM 339739492 388846256   2969400      0.75   1471148  48246100 174277044     43.22  21683572  29671576       988   1666508   2432408     10720     34560    275236
01:20:05 PM 339768432 388875468   2940164      0.74   1471148  48246428 174292708     43.22  21683572  29681636       328   1676192   2432376     10736     34604    275252
01:20:10 PM 339788388 388895880   2919796      0.74   1471148  48246772 174307880     43.23  21683596  29691924       888   1685320   2432444     10880     34768    275268
01:20:15 PM 339841888 388949680   2865988      0.73   1471148  48247128 174338540     43.23  21683592  29704512       248   1698920   2432396     10720     34680    275172
01:20:20 PM 339856400 388964588   2851112      0.72   1471148  48247452 174358948     43.24  21683624  29715532       320   1708620   2432436     10768     34840    275204
01:20:25 PM 339894428 389002980   2812748      0.71   1471148  48247884 174366860     43.24  21683624  29719020       772   1712676   2432340     10720     34724    275140
01:20:30 PM 339934324 389043288   2772664      0.70   1471152  48248180 174406188     43.25  21683624  29737572       700   1730232   2432228     10704     34816    275140
01:20:35 PM 339942760 389051984   2763880      0.70   1471156  48248512 174418852     43.25  21683628  29744652      1544   1737552   2432240     10672     34852    275188
01:20:40 PM 339952836 389062504   2753500      0.70   1471156  48248840 174440688     43.26  21683632  29755972       340   1748052   2432216     10672     34848    275220
01:20:45 PM 339925580 389035568   2780324      0.70   1471156  48249312 174464072     43.26  21683632  29766560      1484   1758364   2432176     10720     34968    275172
