Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

03:54:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:00:03 AM 326306716 389091328   2678796      0.68   1494384  61587344 163646180     40.58  26949232  37620476      6220   1515324   2791308     10720     30564    277380
04:00:08 AM 326219884 389008632   2761148      0.70   1494384  61591388 181422400     44.99  26949660  37699476      6232   1591800   2791744     10752     32204    277380
04:00:13 AM 326306520 389098148   2672176      0.68   1494384  61594204 159939696     39.66  26950028  37609840      6004   1499056   2791264     10736     30288    277268
04:00:18 AM 326181252 388976032   2794796      0.71   1494384  61597208 185108572     45.90  26950576  37730904      5812   1619416   2790908     10768     32752    277300
04:00:23 AM 326272760 389071392   2699536      0.68   1494384  61600924 174904964     43.37  26950904  37666864      7500   1551440   2790944     10736     31912    277284
04:00:28 AM 326294860 389096244   2674960      0.68   1494384  61603792 166461304     41.28  26951344  37648440      5156   1530312   2790552     10784     31236    277252
04:00:33 AM 326327796 389133008   2637996      0.67   1494384  61607616 168418424     41.77  26951724  37634836      6744   1513420   2790756     10784     30952    277268
04:00:38 AM 326307560 389115592   2655892      0.67   1494384  61610292 172110660     42.68  26952188  37661348      5652   1537272   2790420     10784     31036    277268
04:00:43 AM 326270436 389082356   2689404      0.68   1494384  61614056 174042872     43.16  26952580  37661856      6496   1534940   2790268     10720     31056    277316
04:00:48 AM 326171692 388986160   2785268      0.71   1494384  61616524 185120276     45.91  26953088  37744500      5076   1614644   2790680     10800     32564    277348
04:00:53 AM 326242884 389061440   2709576      0.69   1494384  61620416 177739116     44.08  26953472  37692132      7368   1559384   2791288     10800     31904    277396
04:00:58 AM 326358788 389181136   2590240      0.66   1494384  61624100 150756152     37.39  26953740  37539040      5056   1402624   2791036     10672     28760    277300
04:01:03 AM 326219184 389043344   2728280      0.69   1494384  61625768 173857888     43.11  26954268  37713204      5940   1575708   2790932     10768     31620    277348
04:01:08 AM 326250648 389079144   2692092      0.68   1494384  61630084 169644600     42.07  26954640  37636600      5476   1495680   2791340     10752     30952    277268
04:01:13 AM 326523328 389355912   2415028      0.61   1494384  61634160 144421492     35.81  26954904  37433880      5672   1287908   2791648     10624     26972    277204
04:01:18 AM 326440324 389273560   2498376      0.63   1494384  61634740 137080064     33.99  26955400  37494752      3844   1349356   2790724     10592     25976    277204
04:01:23 AM 326593120 389429164   2343576      0.59   1494384  61637584 112273384     27.84  26955608  37348536      4972   1200984   2789884     10416     22376    277028
04:01:28 AM 327065044 389901316   1875012      0.47   1494384  61637800  23842404      5.91  26955700  36829980      1376    681976   2786308      9984      9472    276756
04:01:33 AM 327145012 389981116   1795940      0.45   1494384  61637640   4189372      1.04  26955692  36724468       948    575612   2785572     10400      6168    276628
04:01:38 AM 327164156 390003764   1772280      0.45   1494384  61641368   4197888      1.04  26960228  36730916       820    584304   2786360      9824      6116    276564
04:01:43 AM 326970616 389811212   1957912      0.50   1494384  61641716  66412896     16.47  26973748  37012068        20    877956   2793920     10288     16488    277028
04:01:48 AM 326969716 389810640   1958700      0.50   1494384  61641976  64268304     15.94  26973964  37004468      1488    870596   2793772     10272     16136    277044
04:01:53 AM 326978680 389819972   1949916      0.49   1494384  61642248  53541444     13.28  26974228  36947120       356    811984   2793320     10192     14624    276964
04:01:58 AM 327115912 389956996   1818856      0.46   1494384  61642048   4197888      1.04  26974244  36718212      1532    584284   2787348      9824      6048    276692
04:02:03 AM 327116800 389958372   1817548      0.46   1494384  61642540   4203168      1.04  26974244  36723424       340    589004   2787276      9824      6048    276676
04:02:08 AM 327113652 389957528   1818484      0.46   1494388  61644760   4202240      1.04  26974252  36725564      1520    588948   2787264      9808      6052    276612
04:02:13 AM 327110996 389957340   1818816      0.46   1494392  61647168   4202240      1.04  26974256  36727912       300    588900   2787176      9760      5980    276580
04:02:18 AM 327123792 389972780   1803384      0.46   1494392  61649716   4202240      1.04  26974260  36730640      1436    589104   2787264      9856      6160    276644
04:02:23 AM 326209044 389062400   2706380      0.69   1494392  61654068 174089768     43.17  26975284  37727268      3972   1583040   2794664     10736     33544    277316
04:02:28 AM 325842576 388696444   3072056      0.78   1494392  61654560 174240320     43.21  26975304  37766392      1628   1621768   2794964     10736     34016    277348
04:02:33 AM 325847912 388701980   3066676      0.78   1494392  61654732 174244588     43.21  26975308  37768308       608   1623660   2794836     10768     34092    277364
04:02:38 AM 325863360 388717640   3050792      0.77   1494392  61654876 174245436     43.21  26975312  37771616      1376   1626228   2795128     10752     34104    277364
04:02:43 AM 325893480 388748104   3020400      0.76   1494392  61655188 174246344     43.21  26975324  37786056       580   1640928   2795088     10736     34112    277364
04:02:48 AM 325913456 388768624   2999648      0.76   1494392  61655752 174249972     43.21  26975424  37792276      1576   1646500   2795300     10752     34144    277364
04:02:53 AM 325990660 388846208   2922060      0.74   1494400  61656200 174279428     43.22  26975440  37804028       572   1657952   2795228     10720     34272    277396
04:02:58 AM 326093740 388949792   2818368      0.71   1494400  61656576 174361592     43.24  26975436  37834432      1492   1687816   2795464     10736     34292    277444
04:03:03 AM 326073104 388929416   2838764      0.72   1494400  61656840 174365728     43.24  26975448  37839660       428   1692728   2795440     10736     34332    277396
04:03:08 AM 326078268 388934940   2833060      0.72   1494400  61657252 174365728     43.24  26975440  37841900      1264   1694376   2795568     10704     34316    277380
04:03:13 AM 326075108 388932004   2836344      0.72   1494400  61657496 174371316     43.24  26975440  37845288       824   1697864   2795200     10736     34336    277364
04:03:18 AM 326073692 388930884   2836076      0.72   1494400  61657744 174463712     43.26  26975440  37880436      1128   1732508   2796636     10736     34352    277316
