Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

05:12:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:17 AM      12      0.00      0.00      0.40      0.00      0.00     99.60
05:13:17 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      20      0.20      0.00      0.00      0.00      0.00     99.80
05:13:17 AM      21      0.20      0.00      0.20      0.00      0.00     99.60
05:13:17 AM      22      0.20      0.00      0.40      0.00      0.00     99.40
05:13:17 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      24      0.00      0.00      0.20      0.00      0.00     99.80
05:13:17 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      27      0.20      0.00      0.00      0.00      0.00     99.80
05:13:17 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      31      0.00      0.00      0.20      0.00      0.00     99.80

05:13:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:22 AM     all      0.17      0.00      0.03      0.94      0.00     98.87
05:13:22 AM       0      0.00      0.00      0.00      0.60      0.00     99.40
05:13:22 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      10      4.84      0.00      0.20     29.64      0.00     65.32
05:13:22 AM      11      0.20      0.00      0.00      0.00      0.00     99.80
05:13:22 AM      12      0.00      0.00      0.20      0.00      0.00     99.80
05:13:22 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      27      0.00      0.00      0.40      0.00      0.00     99.60
05:13:22 AM      28      0.40      0.00      0.00      0.00      0.00     99.60
05:13:22 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:13:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:27 AM     all      0.13      0.00      0.07      0.32      0.00     99.48
05:13:27 AM       0      0.00      0.00      0.00      0.80      0.00     99.20
05:13:27 AM       1      0.40      0.00      0.00      0.00      0.00     99.60
05:13:27 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM       5      0.00      0.00      0.20      0.00      0.00     99.80
05:13:27 AM       6      0.20      0.00      0.20      0.00      0.00     99.60
05:13:27 AM       7      0.00      0.00      0.20      0.00      0.00     99.80
05:13:27 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      10      3.01      0.00      0.20      9.42      0.00     87.37
05:13:27 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      19      0.20      0.00      0.00      0.00      0.00     99.80
05:13:27 AM      20      0.00      0.00      0.40      0.00      0.00     99.60
05:13:27 AM      21      0.20      0.00      0.40      0.00      0.00     99.40
05:13:27 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      23      0.00      0.00      0.40      0.00      0.00     99.60
05:13:27 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      27      0.00      0.00      0.20      0.00      0.00     99.80
05:13:27 AM      28      0.20      0.00      0.00      0.00      0.00     99.80
05:13:27 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:13:27 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:13:27 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:32 AM     all      0.16      0.00      0.06      0.80      0.00     98.97
05:13:32 AM       0      0.00      0.00      0.00      0.40      0.00     99.60
05:13:32 AM       1      0.00      0.00      0.20      0.00      0.00     99.80
05:13:32 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      10      4.63      0.00      0.40     25.35      0.00     69.62
05:13:32 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      12      0.00      0.00      0.40      0.00      0.00     99.60
05:13:32 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      15      0.00      0.00      0.20      0.00      0.00     99.80
05:13:32 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:13:32 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
