Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:05:31 PM 382848292 390415488   1543856      0.39   1224116   7887664   4174068      1.04   4100144   5553476       280    570140   1354620      9552      5552    267264
02:05:36 PM 382852520 390421916   1537676      0.39   1224128   7889792   4174200      1.04   4100144   5555604      1180    570120   1354432      9552      5496    267344
02:05:41 PM 382851376 390422896   1536692      0.39   1224132   7891792   4174200      1.04   4100160   5557796       264    570312   1354556      9552      5536    267296
02:05:46 PM 382843932 390417528   1542060      0.39   1224132   7893768   4174200      1.04   4100164   5559848      1140    570408   1354656      9552      5496    267328
02:05:51 PM 382841952 390417400   1542224      0.39   1224136   7895516   4174588      1.04   4100168   5561684       272    570488   1354720      9520      5468    267296
02:05:56 PM 382844676 390422604   1536912      0.39   1224144   7897792   4174588      1.04   4100172   5564100      1120    570636   1355024      9552      5496    267328
02:06:01 PM 382841980 390422024   1537388      0.39   1224148   7899792   4174588      1.04   4100184   5566212       296    570764   1355240      9584      5568    267312
02:06:06 PM 382852600 390434976   1524468      0.39   1224156   7902036   4174720      1.04   4100188   5568516      1056    570852   1355288      9584      5528    267312
02:06:11 PM 382850028 390434640   1524712      0.39   1224164   7904064   4174976      1.04   4100192   5570640       280    570872   1355580      9600      5528    267280
02:06:16 PM 382840820 390427504   1531992      0.39   1224176   7906016   4174976      1.04   4100204   5572720      1016    571052   1355544      9568      5496    267296
02:06:21 PM 382843156 390431884   1527656      0.39   1224184   7907960   4174976      1.04   4100212   5574640       256    570932   1355592      9584      5492    267248
02:06:26 PM 382840268 390431268   1527876      0.39   1224188   7910040   4175364      1.04   4100236   5577068       944    571392   1356176      9584      5536    267312
02:06:31 PM 382838340 390431664   1527232      0.39   1224200   7912208   4175364      1.04   4100236   5579264       192    571372   1356568      9536      5436    267312
02:06:36 PM 382830000 390425432   1533440      0.39   1224208   7914136   4175364      1.04   4100224   5581416       844    571508   1356764      9840      5724    267296
02:06:41 PM 382829348 390426952   1532104      0.39   1224216   7916148   4175496      1.04   4100260   5583456       188    571640   1356732      9584      5528    267296
02:06:46 PM 382826760 390426476   1532628      0.39   1224220   7918040   4175752      1.04   4100260   5585676      1152    571920   1356900     10032      5708    267360
02:06:51 PM 382823364 390425240   1533624      0.39   1224228   7920036   4175884      1.04   4100272   5587548       164    571844   1357296      9600      5556    267360
02:06:56 PM 382821428 390425120   1533876      0.39   1224232   7921756   4175100      1.04   4100272   5589304        20    571888   1357256      9552      5496    267248
02:07:01 PM 382821640 390427720   1531592      0.39   1224244   7923864   4175884      1.04   4100288   5591516      1060    571988   1357208      9552      5500    267328
02:07:06 PM 382819196 390427480   1531776      0.39   1224244   7925948   4176140      1.04   4100288   5593676       368    572104   1357384      9568      5496    267328
02:07:11 PM 382822556 390432976   1526408      0.39   1224248   7927872   4176272      1.04   4100308   5595868      1052    572360   1357464      9616      5568    267376
