Linux 5.15.0-91-generic (gl5) 	01/28/2024 	_x86_64_	(32 CPU)

05:25:15 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:34:00 PM 306146256 389426920   2283408      0.58   1562044  81508388  91760436     22.76  36108248  48018512      2528   1084640   3358452     10256     18744    279076
05:34:05 PM 306140600 389423260   2287324      0.58   1562044  81510280  91748972     22.75  36108384  48028996      4464   1092708   3358300     10288     19056    279124
05:34:10 PM 306205380 389490588   2220180      0.56   1562044  81512820  85243628     21.14  36108740  47972492      2332   1035292   3358124     10224     17756    278948
05:34:15 PM 306253716 389541072   2169096      0.55   1562044  81514864  77842144     19.30  36108888  47920036      3668    980460   3358828     10240     17076    278996
05:34:20 PM 306186244 389475212   2235088      0.57   1562044  81516520  88053488     21.84  36109228  47999768      2708   1058252   3358652     10256     18460    279044
05:34:25 PM 306315292 389607388   2103192      0.53   1562044  81519396  70637096     17.52  36109388  47877920      3228    935000   3358624     10128     16220    279028
05:34:30 PM 306245240 389537704   2172756      0.55   1562044  81519768  80082848     19.86  36109684  47965352      2596   1021952   3358740     10160     17144    278948
05:34:35 PM 306378080 389672848   2037944      0.52   1562044  81522056  53033112     13.15  36109836  47801264      1936    855048   3358424     10544     13784    278916
05:34:40 PM 306484036 389778712   1933688      0.49   1562044  81521924  27549788      6.83  36109928  47658684       712    712580   3356856      9888      9232    278868
05:34:45 PM 306601188 389896512   1815848      0.46   1562044  81522584   6336308      1.57  36109928  47527012       196    580632   3356884      9776      6340    278740
05:34:50 PM 306609888 389907404   1804904      0.46   1562044  81524360   4201828      1.04  36109936  47528440      1576    580288   3357352      9744      5696    278628
05:34:55 PM 306489472 389788952   1919404      0.49   1562048  81526308  38532308      9.56  36127744  47679460       384    746856   3361316      9984     11692    278900
05:35:00 PM 306498304 389798116   1910220      0.48   1562048  81526544  38532308      9.56  36128024  47681812       440    749508   3361432     10016     11688    278948
05:35:05 PM 306491864 389791904   1916816      0.49   1562048  81526740  36386940      9.02  36128228  47672848       376    740652   3361080     10048     11380    278868
05:35:10 PM 306503796 389804460   1904596      0.48   1562048  81527220  36386940      9.02  36128452  47673988      1328    741432   3360888      9968     11216    278932
05:35:15 PM 306526092 389826744   1885032      0.48   1562048  81527152   4206420      1.04  36128492  47517308       268    584912   3358224      9744      5664    278724
05:35:20 PM 306542904 389843164   1868836      0.47   1562048  81526696   4206420      1.04  36128496  47516900      1380    584940   3358064      9776      5736    278772
05:35:25 PM 306544332 389845220   1866732      0.47   1562048  81527348   4210772      1.04  36128500  47522332       276    589768   3358088      9792      5772    278772
05:35:30 PM 306538016 389841212   1870436      0.47   1562048  81529608   4210772      1.04  36128504  47524620      1404    589796   3358440      9808      5804    278724
05:35:35 PM 306539988 389844752   1866992      0.47   1562048  81531136   4210772      1.04  36128500  47526032       284    589668   3358384      9776      5740    278740
05:35:40 PM 306531976 389838852   1872948      0.47   1562052  81533132   4210772      1.04  36128500  47528068      1332    589672   3358440      9776      5748    278708
05:35:45 PM 306531616 389840544   1871256      0.47   1562052  81535096   4210772      1.04  36128500  47530028       252    589672   3358528      9776      5744    278740
05:35:50 PM 305880232 389191724   2517204      0.64   1562052  81537528  98023732     24.31  36129092  48099560      1360   1157784   3361532     10320     21364    279140
05:35:55 PM 305886316 389197872   2511044      0.64   1562052  81537628  98026864     24.31  36129092  48101648       324   1159744   3361508     10288     21408    279156
05:36:00 PM 305901932 389213708   2495148      0.63   1562052  81537884  98027960     24.31  36129132  48108248      1248   1165908   3361532     10272     21412    279172
05:36:05 PM 305906564 389218652   2490156      0.63   1562052  81538228  98027960     24.31  36129144  48113792       236   1171496   3361548     10272     21412    279156
05:36:10 PM 305999100 389311668   2397180      0.61   1562052  81538632  98076980     24.32  36129176  48133080      1164   1189652   3361584     10288     21292    279204
05:36:15 PM 306002272 389315020   2393712      0.61   1562052  81538856  98091880     24.33  36129172  48140300       212   1197236   3361656     10240     21540    279140
05:36:20 PM 306004208 389317332   2391500      0.61   1562052  81539204  98091900     24.33  36129156  48141536       692   1197924   3361584     10464     21564    279188
05:36:25 PM 306003844 389317088   2391580      0.61   1562052  81539408  98091880     24.33  36129172  48142332       408   1198800   3361664     10272     21612    279172
05:36:30 PM 306024616 389338272   2370516      0.60   1562052  81539692  98145380     24.34  36129176  48167812       404   1223820   3361672     10272     21760    279156
05:36:35 PM 306020528 389334436   2373940      0.60   1562052  81540052  98165616     24.34  36129176  48175232      1392   1230976   3361976     10288     21680    279204
05:36:40 PM 306026104 389340664   2367984      0.60   1562052  81540544  98165616     24.34  36129176  48176628       888   1231516   3361864     10256     21616    279204
05:36:45 PM 306022736 389337532   2370972      0.60   1562052  81540904  98165616     24.34  36129176  48177412      1816   1232172   3361884     10336     21712    279220
05:36:50 PM 306062872 389378580   2331052      0.59   1562052  81541660  91531616     22.70  36129384  48105612      1260   1159764   3360912     10240     20368    279156
05:36:55 PM 305921616 389237420   2472516      0.63   1562052  81541672  98125836     24.33  36129680  48143988      1848   1198176   3360692     10336     21408    279188
05:37:00 PM 305936952 389253244   2456952      0.62   1562052  81542096  98014140     24.31  36129752  48116980       708   1171064   3360496     10288     20844    279108
05:37:05 PM 305907644 389223856   2485764      0.63   1562052  81542056  98028128     24.31  36129764  48125236      1876   1179684   3361032     10352     21392    279204
05:37:10 PM 305916792 389233352   2476268      0.63   1562052  81542372  98069052     24.32  36129800  48164836       664   1194620   3361064     10352     21492    279204
05:37:15 PM 306005004 389322032   2387824      0.60   1562052  81542820  98072788     24.32  36129824  48147336      1668   1200940   3360848     10368     21564    279220
05:37:20 PM 306017328 389334516   2375268      0.60   1562052  81543060  98085108     24.32  36129824  48153664       584   1207132   3360840     10336     21560    279268
05:37:25 PM 306019032 389336440   2373400      0.60   1562052  81543272  98089484     24.32  36129828  48155952      1436   1209044   3360792     10336     21536    279268
05:37:30 PM 305997232 389314896   2395120      0.61   1562052  81543512  98196944     24.35  36129832  48194848       564   1247796   3360632     10304     21540    279300
05:37:35 PM 306028136 389346280   2363252      0.60   1562052  81543964  98143396     24.34  36129836  48180784      1588   1233344   3361144     10320     21636    279300
05:37:40 PM 306025996 389344452   2365180      0.60   1562052  81544272  98156304     24.34  36129832  48188212       512   1240388   3361048     10336     21648    279204
05:37:45 PM 306021256 389340092   2369120      0.60   1562052  81544632  98161580     24.34  36129828  48191460      1408   1243224   3361488     10320     21672    279268
05:37:50 PM 306089340 389408896   2300232      0.58   1562052  81545512  86984964     21.57  36129876  48075336       604   1126444   3361412     10288     19772    279204
05:37:55 PM 305988528 389308340   2401184      0.61   1562052  81545472  98079048     24.32  36130084  48157620      1724   1208804   3361312     10432     21484    279220
05:38:00 PM 305956212 389276136   2433960      0.62   1562052  81545564  95215460     23.61  36130268  48111368      1420   1162684   3360760     10336     21136    279188
05:38:05 PM 305924372 389244668   2465380      0.62   1562052  81545888  98014452     24.31  36130416  48121308       760   1172596   3360856     10544     21416    279188
05:38:10 PM 305921552 389242236   2467604      0.62   1562052  81546256  98032168     24.31  36130420  48129048       192   1179892   3361084     10336     21476    279188
05:38:15 PM 305930388 389251344   2458428      0.62   1562052  81546540  98136968     24.34  36130468  48170388       228   1220344   3361140     10352     21540    279172
05:38:20 PM 305960808 389282096   2427840      0.61   1562052  81546852  98067648     24.32  36130468  48148764      1664   1199024   3360996     10352     21480    279156
05:38:25 PM 305995984 389317552   2392412      0.61   1562056  81547116  98088548     24.32  36130484  48157828       456   1207736   3360980     10352     21548    279172
05:38:30 PM 305985468 389307284   2402372      0.61   1562056  81547432  98092160     24.33  36130488  48160444      1444   1210296   3361220     10336     21548    279204
05:38:35 PM 305978860 389301012   2408756      0.61   1562056  81547696  98127612     24.33  36130492  48176356       456   1225808   3361180     10304     21620    279188
05:38:40 PM 306004944 389327256   2382788      0.60   1562056  81547968  98141340     24.34  36130492  48182704      1472   1231848   3360792     10336     21644    279268
05:38:45 PM 306034508 389357252   2352792      0.60   1562056  81548416  98169400     24.34  36130496  48195888       484   1244436   3360776     10304     21692    279284
05:38:50 PM 306026132 389349032   2360620      0.60   1562056  81548792  98169400     24.34  36130496  48196500      1596   1244952   3360948     10304     21704    279284
05:38:55 PM 306029008 389352416   2357532      0.60   1562056  81549068  98120636     24.33  36130588  48178976       716   1226876   3360884     10336     21236    279252
05:39:00 PM 305984796 389308508   2401440      0.61   1562056  81549576  98083296     24.32  36130776  48157532      1600   1205324   3360680     10272     21288    279252
05:39:05 PM 305981928 389305940   2404344      0.61   1562056  81549772  95311908     23.64  36130896  48140428      1092   1188160   3360448     10368     21224    279172
05:39:10 PM 305916036 389240352   2470396      0.63   1562056  81550100  98020016     24.31  36131076  48126264      1456   1173928   3359960     10320     21456    279204
05:39:15 PM 305924136 389248668   2462024      0.62   1562056  81550316  98038132     24.31  36131108  48133720       348   1180948   3360016     10320     21412    279236
05:39:20 PM 305937120 389261996   2448440      0.62   1562056  81550720  98050500     24.32  36131124  48143720      1464   1190740   3360212     10320     21456    279172
05:39:25 PM 305960296 389285472   2425088      0.61   1562056  81551012  98146316     24.34  36131144  48164220       344   1210916   3360096     10336     21472    279108
05:39:30 PM 305980316 389305716   2404452      0.61   1562056  81551292  98169344     24.34  36131144  48190192      1384   1236564   3360432     10336     21508    279124
05:39:35 PM 306010540 389336212   2374168      0.60   1562056  81551516  98105124     24.33  36131148  48170504       436   1216600   3360268     10336     21560    279172
05:39:40 PM 306008800 389334756   2375552      0.60   1562056  81551876  98126944     24.33  36131140  48179220      1212   1225052   3360264     10432     21732    279268
05:39:45 PM 306022072 389348384   2362004      0.60   1562056  81552168  98131916     24.34  36131152  48183376       252   1228700   3360248     10336     21608    279236
05:39:50 PM 305992868 389319376   2391020      0.61   1562056  81552484  98245904     24.36  36131148  48225032        24   1269232   3360120     10384     21656    279252
05:39:55 PM 306042888 389369872   2340668      0.59   1562056  81552812  98228872     24.36  36131256  48218216       148   1262932   3360124     10320     21468    279204
05:40:00 PM 306031236 389358660   2351796      0.60   1562056  81553360  98155592     24.34  36131268  48192356       400   1236860   3360100     10352     21700    279236
05:40:05 PM 305981900 389309652   2400608      0.61   1562056  81553580  98116744     24.33  36131416  48173448      1364   1217656   3360404     10336     21608    279284
05:40:10 PM 306031584 389359516   2350656      0.60   1562056  81553848  95243480     23.62  36131512  48152624       372   1197096   3360404     10352     21324    279252
05:40:15 PM 306013572 389342248   2367920      0.60   1562056  81554500  94320076     23.39  36131680  48103556      2116   1147276   3360500     10352     20856    279268
05:40:20 PM 305941144 389269796   2440344      0.62   1562056  81554504  98041712     24.31  36131768  48139568       552   1183112   3360500     10416     21532    279236
05:40:25 PM 305955160 389284080   2425492      0.61   1562056  81554740  98057440     24.32  36131784  48149252      1576   1192748   3361100     10384     21508    279252
05:40:30 PM 305975476 389304608   2405156      0.61   1562056  81554984  98057676     24.32  36131788  48152560       640   1196048   3360876     10368     21472    279204
05:40:35 PM 305996596 389326160   2383596      0.60   1562056  81555396  98084156     24.32  36131796  48163648      1592   1206432   3360904     10352     21516    279268
05:40:40 PM 306002144 389331952   2377768      0.60   1562056  81555684  98111560     24.33  36131804  48176480       620   1219388   3360896     10384     21600    279284
05:40:45 PM 305995280 389325440   2384412      0.60   1562056  81555944  98128856     24.33  36131808  48185932      1576   1228244   3360856     10384     21636    279284
05:40:50 PM 305986476 389316800   2393004      0.61   1562060  81556204  98132236     24.34  36131812  48188360       604   1230636   3360804     10368     21640    279284
05:40:55 PM 305973460 389304624   2405428      0.61   1562060  81556980  95310704     23.64  36131844  48188012      1628   1229132   3360620     10352     20984    279220
05:41:00 PM 305955152 389286324   2423584      0.61   1562060  81556988  98137532     24.34  36131892  48192564       740   1234176   3360764     10368     21644    279172
05:41:05 PM 306047380 389378980   2331112      0.59   1562060  81557316  82860484     20.55  36131948  48076584      1700   1117844   3360680     10256     19260    279124
05:41:10 PM 305971716 389303664   2406140      0.61   1562064  81557596  92242436     22.87  36132036  48138104       508   1179092   3361032     10304     20548    279076
05:41:15 PM 305945216 389277484   2432128      0.62   1562064  81557844  92211088     22.87  36132144  48124800      1664   1165732   3361296     10320     20508    279172
05:41:20 PM 305963356 389296236   2413620      0.61   1562064  81558404  92188368     22.86  36132236  48114248       488   1154672   3361104     10320     20352    279172
05:41:25 PM 305997484 389330716   2379120      0.60   1562064  81558780  92170304     22.86  36132368  48104264      1600   1144404   3361100     10464     20072    279252
05:41:30 PM 306019680 389352796   2357104      0.60   1562064  81558640  92189628     22.86  36132408  48113596       192   1154012   3361060     10304     20464    279204
05:41:35 PM 306041844 389375212   2334888      0.59   1562068  81558880  92202208     22.86  36132412  48120664       740   1160820   3360868     10384     20580    279220
05:41:40 PM 306041312 389374936   2335012      0.59   1562068  81559204  92214556     22.87  36132436  48127616      1052   1167488   3360952     10272     20532    279204
05:41:45 PM 306063576 389397460   2312564      0.59   1562068  81559444  92241832     22.87  36132436  48138776       444   1178004   3360896     10272     20704    279156
