Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

01:36:51 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:43:41 AM 294375228 389041600   2540440      0.64    858620  93534724   6622564      1.64  65714572  29553048       216   1040248   3564772      9696     10120    863076
01:43:46 AM 294373240 389041256   2540692      0.64    858620  93536268   6699640      1.66  65714572  29554576       132   1040276   3564964      9696     10120    863076
01:43:51 AM 294370100 389039936   2541812      0.64    858620  93537976   6625100      1.64  65714572  29557472        84   1041484   3565276      9728     10236    863116
01:43:56 AM 294364628 389036320   2545032      0.64    858620  93539740   6622696      1.64  65714572  29558176       192   1040400   3565764      9728     10132    863124
01:44:01 AM 294362168 389035764   2545744      0.64    858620  93541568   6622696      1.64  65714572  29560068       108   1040428   3565684      9696     10116    863172
01:44:06 AM 294357952 389033720   2547948      0.65    858620  93543616   6622952      1.64  65714568  29562644        68   1040976   3565648      9712     10380    863140
01:44:11 AM 294357752 389035252   2546540      0.64    858620  93545272   6623096      1.64  65714572  29563980        92   1040632   3565600      9696     10124    863156
01:44:16 AM 294356028 389035280   2546800      0.64    858620  93546928   6623096      1.64  65714572  29565612        12   1040620   3565408      9664     10124    863172
01:44:21 AM 294354832 389036372   2545708      0.64    858620  93549060   6625920      1.64  65714572  29569452       268   1042312   3565564      9728     10232    863148
01:44:26 AM 294356400 389039816   2542344      0.64    858620  93550824   6623352      1.64  65714568  29569752       260   1040856   3565596      9664     10120    863156
01:44:31 AM 294356720 389041796   2540436      0.64    858620  93552400   6623484      1.64  65714572  29571496        80   1041020   3565608      9696     10128    863140
01:44:36 AM 294355568 389042776   2539564      0.64    858620  93554392   6638388      1.65  65714572  29578588       216   1046136   3565640      9728     10732    863180
01:44:41 AM 294357796 389046788   2535344      0.64    858620  93556068   6623484      1.64  65714572  29575796       248   1041680   3565956      9728     10236    863140
01:44:46 AM 294355064 389045828   2536164      0.64    858620  93557728   6623740      1.64  65714564  29577052        44   1041308   3566208      9696     10128    863108
01:44:51 AM 294353880 389046476   2535496      0.64    858620  93559436   6623872      1.64  65714564  29578860        88   1041400   3566352      9696     10128    863060
01:44:56 AM 294353732 389048232   2533580      0.64    858620  93561232   6626696      1.64  65714572  29582140        28   1042904   3566620      9696     10224    863148
01:45:01 AM 294354620 389050924   2530780      0.64    858620  93562916   6623872      1.64  65714572  29582532       420   1041592   3566848      9696     10132    863076
01:45:06 AM 294347588 389045956   2535448      0.64    858620  93564856   6624268      1.64  65714568  29584732        76   1041804   3567272      9712     10384    863172
01:45:11 AM 294347156 389047080   2534460      0.64    858620  93566316   6624268      1.64  65714572  29586160       240   1041764   3567232      9696     10128    863124
01:45:16 AM 294344936 389046744   2535172      0.64    858620  93568088   6624268      1.64  65714572  29587856        44   1041760   3566968      9648     10120    863124
01:45:21 AM 294344460 389048032   2533628      0.64    858620  93569744   6624268      1.64  65714572  29589652       104   1041904   3567332      9680     10132    863108
01:45:26 AM 294338684 389044336   2537588      0.64    858620  93571732   6624400      1.64  65714572  29591756        12   1042020   3567160      9680     10128    863124
01:45:31 AM 294336728 389043968   2537784      0.64    858620  93573228   6627480      1.64  65714572  29594792       228   1043592   3567424      9712     10232    863116
01:45:36 AM 294337520 389046548   2535408      0.64    858620  93574856   6624656      1.64  65714572  29595544       252   1042660   3567380      9680     10652    863124
01:45:41 AM 294335312 389046348   2535428      0.64    858620  93576768   6624656      1.64  65714568  29597104       216   1042320   3567656      9696     10128    863108
01:45:46 AM 294335180 389047852   2533996      0.64    858620  93578284   6627612      1.64  65714572  29600116       192   1043888   3567704      9728     10236    863100
01:45:51 AM 294332192 389046684   2534892      0.64    858620  93579992   6627612      1.64  65714572  29601968       216   1043984   3568088      9728     10240    863148
01:45:56 AM 294330736 389046988   2534816      0.64    858620  93581648   6628008      1.64  65714572  29603948        44   1044340   3567964      9760     10248    863116
01:46:01 AM 294332272 389050408   2531640      0.64    858620  93583416   6625184      1.64  65714568  29604052       104   1042652   3567836      9696     10132    863060
01:46:06 AM 294331860 389051944   2530692      0.64    858620  93585212   6625184      1.64  65714560  29605944        68   1042664   3567400      9616     10116    863108
01:46:11 AM 294331128 389052940   2529664      0.64    858620  93586840   6625184      1.64  65714560  29607712        64   1042836   3567532      9680     10136    863108
01:46:16 AM 294331952 389055660   2527044      0.64    858620  93588664   6625440      1.64  65714572  29609684        80   1042960   3567504      9632     10372    863124
01:46:21 AM 294332292 389058028   2524344      0.64    858620  93590544   6625572      1.64  65714572  29611620       228   1043044   3567984      9664     10136    863092
01:46:26 AM 294333136 389060692   2521676      0.64    858620  93592256   6625572      1.64  65714572  29613860        80   1043596   3568096      9632     10628    863076
01:46:31 AM 294331656 389060828   2521444      0.64    858620  93593772   6625572      1.64  65714568  29614968       112   1043252   3568292      9648     10132    863060
01:46:36 AM 294330692 389061640   2520564      0.64    858620  93595428   6637908      1.65  65714580  29620924       112   1047460   3568480      9664     10456    863124
01:46:41 AM 294327736 389061132   2520680      0.64    858620  93597704   6628784      1.64  65714572  29620656       268   1044956   3569044      9696     10236    863100
01:46:46 AM 294329096 389064452   2517364      0.64    858620  93599560   6625960      1.64  65714568  29621200       164   1043568   3569144      9664     10132    863092
01:46:51 AM 294327184 389064464   2517540      0.64    858620  93601352   6625960      1.64  65714564  29623052        56   1043672   3569088      9664     10132    863092
01:46:56 AM 294321728 389060632   2521000      0.64    858620  93602868   6631708      1.64  65714568  29626904        12   1046004   3569568      9712     10304    863140
01:47:01 AM 294322460 389063112   2518484      0.64    858620  93604476   6626348      1.64  65714568  29626772       408   1044316   3569744      9696     10252    863108
01:47:06 AM 294319520 389061840   2519748      0.64    858620  93606024   6626348      1.64  65714564  29628028        76   1043916   3569872      9664     10128    863108
01:47:11 AM 294318612 389062896   2518756      0.64    858620  93607844   6626484      1.64  65714564  29629924       276   1044004   3569952      9664     10128    863108
01:47:16 AM 294321004 389066736   2515576      0.64    858620  93609220   6626484      1.64  65714572  29631500       120   1044216   3569364      9680     10384    863092
01:47:21 AM 294319348 389066876   2515360      0.64    858620  93610876   6626740      1.64  65714572  29633096       100   1044188   3569580      9664     10128    863092
01:47:26 AM 294321704 389070792   2511384      0.64    858620  93612360   6626740      1.64  65714572  29634700        40   1044264   3569716      9664     10132    863108
01:47:31 AM 294319944 389070440   2511720      0.64    858620  93613712   6629564      1.64  65714572  29637540       412   1045824   3569788      9696     10240    863116
01:47:36 AM 294321748 389074068   2507944      0.64    858620  93615424   6638952      1.65  65714568  29641476       216   1047968   3570048      9664     10632    863108
01:47:41 AM 294323312 389076816   2505124      0.63    858620  93616520   6626872      1.64  65714572  29639084       200   1044496   3570208      9664     10128    863108
