Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

06:30:45 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
06:38:55 AM 325170280 389936920   1831752      0.46   1541868  63402396   4290948      1.06  27718140  37832708       236    634872   2912252      9680      6312    276636
06:39:00 AM 325163592 389932320   1836468      0.47   1541868  63404288   4295220      1.07  27718140  37836884      1244    637196   2912332      9712      6440    276644
06:39:05 AM 325162376 389933096   1835836      0.46   1541868  63406184   4291088      1.06  27718144  37836732        20    635064   2912284      9680      6324    276620
06:39:10 AM 325154000 389926552   1841868      0.47   1541868  63407832   4291344      1.06  27718144  37838404       804    635152   2912980      9696      6320    276636
06:39:15 AM 325152764 389926996   1841428      0.47   1541868  63409404   4291344      1.06  27718148  37840100        20    635232   2913084      9696      6316    276604
06:39:20 AM 325146432 389922628   1845760      0.47   1541868  63411268   4291124      1.06  27718140  37841916       636    635204   2913220      9952      6372    276604
06:39:25 AM 325144092 389922592   1845636      0.47   1541868  63413372   4295380      1.07  27718156  37846180      1068    637336   2913580      9728      6420    276580
06:39:30 AM 325141180 389921316   1846924      0.47   1541868  63414920   4295696      1.07  27718156  37848048       472    637764   2913656      9728      6424    276596
06:39:35 AM 325142580 389924564   1843664      0.47   1541868  63416580   4291732      1.06  27718152  37847716       940    635664   2913856      9712      6312    276572
06:39:40 AM 325140416 389924316   1843872      0.47   1541868  63418412   4291732      1.06  27718152  37849604       212    635764   2913980      9712      6308    276588
06:39:45 AM 325137080 389923000   1845192      0.47   1541868  63420216   4291864      1.06  27718156  37851480       852    635856   2914192      9712      6312    276588
06:39:50 AM 325135520 389923496   1844740      0.47   1541868  63422160   4291864      1.06  27718156  37853584       228    635976   2914260      9712      6316    276620
06:39:55 AM 325123240 389913144   1855344      0.47   1541868  63423996   4296476      1.07  27718164  37857656       964    638264   2914100      9744      6428    276644
06:40:00 AM 325126512 389918092   1850432      0.47   1541868  63425600   4292256      1.06  27718160  37857172       216    636132   2914136      9712      6308    276588
06:40:05 AM 325123268 389916564   1851756      0.47   1541868  63427240   4292256      1.06  27718160  37858864       992    636212   2914416      9728      6316    276620
06:40:10 AM 325121904 389916956   1851340      0.47   1541868  63428896   4292256      1.06  27718164  37860576       180    636280   2914540      9728      6308    276636
06:40:15 AM 325113304 389910272   1857820      0.47   1541872  63430812   4292512      1.06  27718160  37862616       960    636396   2914740      9728      6308    276668
06:40:20 AM 325113852 389912704   1855368      0.47   1541872  63432592   4292644      1.06  27718168  37864472       208    636496   2914864      9728      6316    276636
06:40:25 AM 325105880 389906704   1861612      0.47   1541872  63434560   4292644      1.06  27718172  37866568       960    636620   2914624      9728      6312    276588
06:40:30 AM 325105220 389908176   1860188      0.47   1541872  63436524   4292644      1.06  27718172  37868656       188    636720   2914744      9728      6308    276604
06:40:35 AM 325103300 389907860   1860452      0.47   1541872  63438116   4292900      1.06  27718172  37870340      1292    636824   2914808      9728      6320    276604
06:40:40 AM 325100936 389907700   1860620      0.47   1541872  63440216   4293032      1.06  27718176  37872568       192    636956   2914904      9728      6320    276604
06:40:45 AM 325093224 389902000   1866512      0.47   1541872  63442080   4297304      1.07  27718180  37876740       944    639292   2914860      9760      6432    276676
06:40:50 AM 325092188 389902868   1865708      0.47   1541872  63443884   4293288      1.06  27718176  37876508       180    637212   2914896      9728      6316    276652
06:40:55 AM 325089016 389901704   1867044      0.47   1541872  63445800   4293420      1.06  27718176  37878536      1184    637332   2914816      9728      6324    276652
