Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:42:28 AM  53684016 389271312   1448560      0.37   4040916 321768772   3143904      0.78 146969380 179000576       168    188176  13916876      8384      4312    330508
01:42:33 AM  53683064 389271740   1448096      0.37   4040916 321770092   3143904      0.78 146969380 179001916        36    188200  13916972      8384      4312    330508
01:42:38 AM  53682104 389272140   1447664      0.37   4040916 321771420   3144036      0.78 146969380 179003276         8    188232  13917036      8384      4312    330508
01:42:43 AM  53680648 389272008   1447920      0.37   4040916 321772716   3144036      0.78 146969380 179004636        16    188304  13916940      8400      4340    330524
01:42:48 AM  53678992 389271720   1448184      0.37   4040916 321774012   3144036      0.78 146969384 179006076       192    188428  13917036      8432      4408    330508
01:42:53 AM  53678272 389272236   1447596      0.37   4040916 321775224   3144036      0.78 146969380 179007140        40    188284  13917132      8352      4276    330508
01:42:58 AM  53676988 389272292   1447596      0.37   4040916 321776492   3144168      0.78 146969380 179008452       176    188340  13917148      8400      4340    330508
01:43:03 AM  53676080 389272708   1447112      0.37   4040916 321777756   3144168      0.78 146969380 179009784        32    188408  13917276      8432      4372    330540
01:43:08 AM  53674604 389272424   1447472      0.37   4040916 321778920   3144168      0.78 146969372 179010784        20    188220  13917228      8384      4264    330556
01:43:13 AM  53673656 389273028   1446864      0.37   4040916 321780380   3144168      0.78 146969380 179012452         4    188460  13917324      8432      4372    330556
01:43:18 AM  53673248 389274028   1445848      0.37   4040916 321781756   3144168      0.78 146969384 179013988       176    188616  13917372      8368      4312    330556
01:43:23 AM  53673288 389275548   1444316      0.37   4040916 321783136   3144300      0.78 146969380 179015280        44    188536  13917484      8400      4344    330540
01:43:28 AM  53672608 389276400   1443480      0.37   4040916 321784604   3144300      0.78 146969380 179016760       176    188544  13917532      8400      4312    330540
01:43:33 AM  53672192 389277480   1442424      0.37   4040916 321786060   3144300      0.78 146969380 179018248        40    188592  13917548      8352      4288    330540
01:43:38 AM  53672756 389279512   1440372      0.36   4040916 321787468   3144300      0.78 146969380 179019744         8    188644  13917628      8400      4336    330524
01:43:43 AM  53672448 389280500   1439296      0.36   4040916 321788740   3144432      0.78 146969380 179020996         8    188640  13917740      8384      4308    330508
01:43:48 AM  53672752 389282160   1437716      0.36   4040916 321790032   3144432      0.78 146969376 179022244        44    188584  13917724      8400      4304    330524
01:43:53 AM  53672288 389282976   1436924      0.36   4040916 321791272   3144432      0.78 146969380 179023552        36    188664  13917740      8368      4280    330524
01:43:58 AM  53671328 389283460   1436424      0.36   4040916 321792652   3144432      0.78 146969380 179025000       180    188724  13917820      8384      4312    330508
01:44:03 AM  53670620 389283824   1436012      0.36   4040916 321793692   3144432      0.78 146969376 179026000        48    188672  13917900      8400      4304    330508
01:44:08 AM  53669184 389284064   1435860      0.36   4040916 321795312   3144564      0.78 146969380 179027800       176    188900  13917868      8416      4372    330508
01:44:13 AM  53667264 389283620   1436284      0.36   4040916 321796744   3145416      0.78 146969380 179029276        40    188892  13917932      8384      4300    330524
01:44:18 AM  53665524 389283176   1436712      0.36   4040916 321797992   3144564      0.78 146969380 179030596         8    188980  13917996      8384      4308    330524
01:44:23 AM  53664828 389283876   1435992      0.36   4040916 321799344   3144564      0.78 146969380 179032048         8    189060  13918060      8384      4308    330524
