Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:08:15 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:13:55 AM  52955244 388258692   2455356      0.62   4040916 321491524 163621412     40.58 146886944 179720848      4744   1103388  13916100      9264     29432    331060
01:14:00 AM  52900488 388207104   2507428      0.64   4040916 321494564 177548460     44.03 146887340 179806184      5656   1186204  13915744      9280     30336    331076
01:14:05 AM  52948528 388258120   2456128      0.62   4040916 321497344 170143388     42.19 146887724 179756920      5188   1134964  13916224      9264     29332    331076
01:14:10 AM  52954500 388267392   2446620      0.62   4040916 321500560 163581732     40.57 146888068 179738768      5360   1114076  13916544      9280     28820    331092
01:14:15 AM  53065928 388381780   2332656      0.59   4040916 321503632 146871092     36.42 146888412 179639628      4024   1011344  13916008      9200     27148    331076
01:14:20 AM  52991244 388309788   2405252      0.61   4040916 321506336 157974676     39.18 146888852 179728296      4372   1097732  13915392      9264     28348    331044
01:14:25 AM  52851000 388171144   2543648      0.64   4040916 321507916 175592316     43.54 146889220 179856060      5580   1225080  13915660      9328     31360    331124
01:14:30 AM  53107364 388431992   2282512      0.58   4040916 321512300 145973100     36.20 146889492 179617484      4656    982088  13916048      9200     26748    331108
01:14:35 AM  53119008 388445504   2269092      0.57   4040916 321514092 141244492     35.03 146889896 179624044      3632    987176  13916032      9200     26556    331060
01:14:40 AM  52924492 388253496   2461308      0.62   4040916 321516596 168180868     41.71 146890320 179789176      5088   1149832  13915828      9280     30144    331076
01:14:45 AM  52942288 388274364   2440516      0.62   4040916 321519596 171028928     42.41 146890648 179780316      5800   1138108  13915824      9360     29620    331092
01:14:50 AM  53024276 388360072   2354732      0.60   4040916 321523400 150550328     37.33 146890996 179658528      5012   1013660  13915816      9248     27576    331044
01:14:55 AM  53040204 388378408   2336232      0.59   4040916 321525844 138405492     34.32 146891348 179611692      3960    964136  13915944      9248     26164    331028
01:15:00 AM  53051188 388391608   2322008      0.59   4040916 321528076 145822132     36.16 146891680 179647748      3768    999040  13916952      9216     26500    331028
01:15:05 AM  52883328 388226572   2488448      0.63   4040916 321530744 169056184     41.92 146892176 179824320      5072   1164888  13915704      9312     30252    331108
01:15:10 AM  52852840 388199300   2515460      0.64   4040916 321533936 167310400     41.49 146892456 179762504      5828   1108656  13915988      9312     29196    331108
01:15:15 AM  53086284 388436040   2278624      0.58   4040916 321537336 135758732     33.67 146892756 179566036      4120    908816  13915980      9168     25432    331028
01:15:20 AM  53005312 388357164   2357316      0.60   4040916 321539360 150569624     37.34 146893152 179691172      4504   1032544  13916236      9232     27568    331028
01:15:25 AM  52850284 388204496   2510388      0.64   4040916 321541668 174717744     43.33 146893600 179843536      4972   1183196  13915884      9328     29888    330996
01:15:30 AM  52889080 388245664   2467484      0.62   4040916 321544272 168890852     41.88 146893964 179815988      5580   1151836  13917388      9296     29932    331028
01:15:35 AM  53049940 388410368   2302952      0.58   4040916 321548116 147355172     36.54 146894332 179646924      4496    980696  13917216      9184     26664    331092
01:15:40 AM  53266084 388627552   2088812      0.53   4040916 321549128  95806996     23.76 146894496 179378464      3900    711160  13914200      8880     18620    330804
01:15:45 AM  53671508 389033424   1685316      0.43   4040916 321549540  26438260      6.56 146894588 178982644       768    314876  13911860      8512      8296    330500
01:15:50 AM  53801688 389163524   1556192      0.39   4040916 321549516   3092804      0.77 146894592 178845336       208    177440  13910828      8352      4128    330372
01:15:55 AM  53849816 389215092   1504800      0.38   4040916 321553244   3101108      0.77 146896608 178855292        80    185996  13910364      8336      4148    330356
01:16:00 AM  53597572 388963316   1749600      0.44   4040916 321553368  65317244     16.20 146912452 179115080       236    461156  13917684      8816     14776    330788
01:16:05 AM  53575236 388941128   1771760      0.45   4040916 321553520  65317244     16.20 146912616 179138088        80    484284  13917708      8816     14940    330772
01:16:10 AM  53602912 388969056   1744016      0.44   4040916 321553772  63171860     15.67 146912872 179131880        12    478008  13917524      8800     14564    330788
01:16:15 AM  53716436 389082992   1633392      0.41   4040916 321554052  22409564      5.56 146913132 178935652         8    281884  13914344      8544      8616    330580
01:16:20 AM  53752940 389119500   1600024      0.41   4040916 321554064   3101108      0.77 146913136 178839996       180    186056  13911196      8352      4152    330420
01:16:25 AM  53754736 389121064   1598472      0.40   4040916 321553820   3101108      0.77 146913136 178839748        40    186052  13911196      8352      4148    330420
01:16:30 AM  53756016 389122136   1597408      0.40   4040916 321553604   3101108      0.77 146913136 178839544       180    186056  13911196      8352      4148    330420
01:16:35 AM  53749888 389116824   1602684      0.41   4040916 321554408   3105716      0.77 146913136 178845084        60    190812  13911244      8368      4156    330436
01:16:40 AM  53749336 389117756   1601756      0.41   4040916 321555856   3105716      0.77 146913136 178846544        16    190812  13911276      8368      4156    330420
01:16:45 AM  53764176 389133644   1585936      0.40   4040916 321556900   3105716      0.77 146913136 178847552         8    190820  13911212      8384      4152    330436
01:16:50 AM  53763484 389134856   1584604      0.40   4040916 321558748   3105716      0.77 146913136 178849400        12    190820  13911388      8368      4156    330420
01:16:55 AM  53764676 389137652   1581880      0.40   4040916 321560312   3105716      0.77 146913140 178850996         4    190816  13911356      8352      4152    330404
01:17:00 AM  53764212 389138620   1580952      0.40   4040916 321561720   3105716      0.77 146913140 178852400       180    190820  13911340      8352      4156    330420
01:17:05 AM  52873628 388251908   2461256      0.62   4040916 321565568 172993020     42.90 146914136 179846544      2996   1182824  13917772      9296     30560    331140
01:17:10 AM  52551800 387930464   2782764      0.70   4040916 321566008 173151888     42.94 146914196 179888508       428   1224468  13917652      9296     32548    331108
01:17:15 AM  52552392 387931180   2782108      0.70   4040916 321566072 173154992     42.94 146914196 179890732       336   1226336  13917652      9296     32556    331092
01:17:20 AM  52558872 387937724   2775520      0.70   4040916 321566188 173156904     42.94 146914196 179893368       324   1229036  13917644      9296     32568    331092
01:17:25 AM  52595544 387974684   2738572      0.69   4040916 321566464 173157648     42.94 146914244 179907196       296   1242788  13917644      9296     32564    331108
01:17:30 AM  52607612 387987116   2726092      0.69   4040916 321566876 173157648     42.94 146914252 179912404       324   1247564  13917644      9296     32564    331108
01:17:35 AM  52633008 388012908   2700296      0.68   4040916 321567308 173268848     42.97 146914312 179952104       296   1287368  13917612      9296     32592    331092
01:17:40 AM  52734348 388114688   2598600      0.66   4040916 321567696 173341812     42.99 146914312 179981360       252   1315764  13917580      9296     32748    331108
01:17:45 AM  52770144 388150744   2562624      0.65   4040916 321567940 173277044     42.97 146914312 179960836       216   1294732  13917516      9312     32792    331140
01:17:50 AM  52786336 388167116   2546208      0.64   4040916 321568188 173277044     42.97 146914312 179963728       360   1297568  13917492      9312     32800    331172
01:17:55 AM  52781320 388162388   2551080      0.65   4040916 321568428 173277044     42.97 146914312 179965040       204   1298356  13917396      9312     32800    331204
01:18:00 AM  52739680 388120928   2592448      0.66   4040916 321568668 173281200     42.97 146914312 179967812       216   1301120  13917428      9312     32804    331172
01:18:05 AM  52772648 388154224   2559204      0.65   4040916 321568912 173311792     42.98 146914312 179981764       184   1314616  13917460      9312     32872    331172
01:18:10 AM  52739436 388121284   2592052      0.66   4040916 321569276 173375924     42.99 146914312 180009224       216   1342040  13917460      9312     32976    331172
01:18:15 AM  52717656 388099952   2613396      0.66   4040916 321569680 173409704     43.00 146914312 180026812       224   1358840  13917492      9312     33052    331204
01:18:20 AM  52738420 388120932   2592232      0.66   4040916 321570080 173414628     43.00 146914312 180029896       356   1361772  13917492      9312     33064    331220
01:18:25 AM  52746708 388129800   2583628      0.65   4040916 321570492 173414628     43.00 146914312 180031064       188   1362076  13917396      9312     33064    331204
