Linux 5.15.30-2-pve (superserver2) 	01/28/2024 	_x86_64_	(32 CPU)

08:21:36 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
08:26:51 PM 311771344 388159088   3458288      0.88    857864  75672492 159683068     39.60  50717292  27615372      6240   1968352   3113796     10704     34692    863224
08:26:56 PM 311672308 388062704   3555380      0.90    857864  75675036 175394596     43.49  50717804  27724676      4988   2076036   3113196     10704     35532    863320
08:27:01 PM 311610708 388004668   3611644      0.91    857864  75679072 187523520     46.50  50718208  27796064      5916   2144840   3114496     10736     37740    863376
08:27:06 PM 311718136 388115732   3501328      0.89    857864  75682124 170821112     42.36  50718576  27692244      5004   2037160   3114332     10656     35296    863328
08:27:11 PM 311674284 388075516   3540896      0.90    857864  75685484 181010668     44.89  50719104  27752736      6004   2085660   3115256     10704     36516    863360
08:27:16 PM 311699672 388104176   3512092      0.89    857864  75688756 174491216     43.27  50719432  27728760      5440   2067768   3115400     10624     35832    863344
08:27:21 PM 311610188 388017336   3598796      0.91    857864  75691160 187548516     46.51  50719968  27813704      5188   2151432   3115776     10704     37036    863376
08:27:26 PM 311671740 388082944   3533792      0.89    857864  75695204 177312920     43.97  50720332  27739772      5852   2073704   3115184     10688     36188    863312
08:27:31 PM 311734580 388149576   3466888      0.88    857864  75698640 166221780     41.22  50720816  27665860      4688   1996404   3115812     10672     34384    863320
08:27:36 PM 311624548 388042476   3573020      0.90    857864  75701536 174502304     43.27  50721204  27744304      6100   2072424   3116816     10688     36584    863376
08:27:41 PM 311761488 388182880   3431972      0.87    857864  75704944 158811184     39.38  50721552  27613828      5056   1939100   3117516     10624     33756    863360
08:27:46 PM 311740704 388165356   3450880      0.87    857864  75708004 167983940     41.66  50722048  27694868      4904   2017760   3116332     10656     35280    863360
08:27:51 PM 311650116 388077964   3539152      0.90    857864  75711168 178203972     44.19  50722512  27798960      5796   2118188   3115484     10672     36848    863344
08:27:56 PM 311729800 388161408   3454856      0.87    857864  75714752 164307836     40.74  50722852  27693088      5852   2009968   3116512     10672     35116    863312
08:28:01 PM 311711696 388145672   3470184      0.88    857864  75717716 164280376     40.74  50723320  27692440      4532   2006300   3116324     10640     34228    863344
08:28:06 PM 311579688 388016820   3600136      0.91    857864  75720208 181708808     45.06  50723788  27807736      6268   2119640   3115888     10688     36756    863320
08:28:11 PM 311724948 388165264   3452980      0.87    857864  75723344 148839676     36.91  50724092  27612552      5404   1922144   3114648     10480     31484    863200
08:28:16 PM 311989068 388431504   3188616      0.81    857864  75725432 102150936     25.33  50724404  27340004      3380   1646984   3112804     10224     24652    863056
08:28:21 PM 312462468 388905880   2716780      0.69    857864  75726332  16745472      4.15  50724436  26833596       568   1139872   3110340      9808     12196    862744
08:28:26 PM 312493320 388938272   2685592      0.68    857864  75727476   6643008      1.65  50724432  26798300       204   1103464   3109532      9680     10228    862640
08:28:31 PM 311806756 388252400   3363356      0.85    857864  75728080  68725396     17.04  50758428  27509396       248   1847920   3117728     10176     20668    863120
08:28:36 PM 311807924 388253904   3361672      0.85    857864  75728416  66584624     16.51  50759352  27521552        36   1860600   3117908     10176     20312    863072
08:28:41 PM 312468636 388915012   2707512      0.69    857864  75728716   6643008      1.65  50759912  26764864       288   1104220   3111056      9744     10448    862720
08:28:46 PM 312467232 388912872   2710016      0.69    857864  75727980   6643008      1.65  50759912  26763676        48   1103796   3110692      9728     10232    862704
