Timestamp,CPU,CPU MHz
2024-01-26T02:18:59,30,2981.999
2024-01-26T02:18:59,31,800.0
2024-01-26T02:19:04,0,800.0
2024-01-26T02:19:04,1,3100.0
2024-01-26T02:19:04,2,1500.0
2024-01-26T02:19:04,3,2100.0
2024-01-26T02:19:04,4,800.0
2024-01-26T02:19:04,5,2100.0
2024-01-26T02:19:04,6,1500.0
2024-01-26T02:19:04,7,800.0
2024-01-26T02:19:04,8,2443.347
2024-01-26T02:19:04,9,2094.016
2024-01-26T02:19:04,10,1134.11
2024-01-26T02:19:04,11,1500.0
2024-01-26T02:19:04,12,1766.0
2024-01-26T02:19:04,13,800.0
2024-01-26T02:19:04,14,800.0
2024-01-26T02:19:04,15,800.0
2024-01-26T02:19:04,16,800.0
2024-01-26T02:19:04,17,800.0
2024-01-26T02:19:04,18,2499.518
2024-01-26T02:19:04,19,800.0
2024-01-26T02:19:04,20,800.0
2024-01-26T02:19:04,21,1000.0
2024-01-26T02:19:04,22,2100.002
2024-01-26T02:19:04,23,800.0
2024-01-26T02:19:04,24,800.0
2024-01-26T02:19:04,25,2093.218
2024-01-26T02:19:04,26,800.0
2024-01-26T02:19:04,27,800.0
2024-01-26T02:19:04,28,800.0
2024-01-26T02:19:04,29,2100.0
2024-01-26T02:19:04,30,800.0
2024-01-26T02:19:04,31,800.0
2024-01-26T02:19:09,0,2000.0
2024-01-26T02:19:09,1,800.0
2024-01-26T02:19:09,2,800.0
2024-01-26T02:19:09,3,800.0
2024-01-26T02:19:09,4,800.0
2024-01-26T02:19:09,5,1496.423
2024-01-26T02:19:09,6,800.0
2024-01-26T02:19:09,7,800.0
2024-01-26T02:19:09,8,800.0
2024-01-26T02:19:09,9,1191.404
2024-01-26T02:19:09,10,2100.0
2024-01-26T02:19:09,11,2100.0
2024-01-26T02:19:09,12,800.0
2024-01-26T02:19:09,13,800.0
2024-01-26T02:19:09,14,2980.01
2024-01-26T02:19:09,15,800.0
2024-01-26T02:19:09,16,800.0
2024-01-26T02:19:09,17,800.0
2024-01-26T02:19:09,18,3100.0
2024-01-26T02:19:09,19,800.0
2024-01-26T02:19:09,20,862.278
2024-01-26T02:19:09,21,1200.0
2024-01-26T02:19:09,22,2000.0
2024-01-26T02:19:09,23,1800.0
2024-01-26T02:19:09,24,800.0
2024-01-26T02:19:09,25,800.0
2024-01-26T02:19:09,26,800.0
2024-01-26T02:19:09,27,1900.0
2024-01-26T02:19:09,28,800.0
2024-01-26T02:19:09,29,800.0
2024-01-26T02:19:09,30,800.0
2024-01-26T02:19:09,31,800.0
2024-01-26T02:19:14,0,800.0
2024-01-26T02:19:14,1,800.0
2024-01-26T02:19:14,2,3100.0
2024-01-26T02:19:14,3,800.0
2024-01-26T02:19:14,4,800.0
2024-01-26T02:19:14,5,1900.0
2024-01-26T02:19:14,6,3200.0
2024-01-26T02:19:14,7,800.0
2024-01-26T02:19:14,8,1908.384
2024-01-26T02:19:14,9,3200.0
2024-01-26T02:19:14,10,800.0
2024-01-26T02:19:14,11,800.0
2024-01-26T02:19:14,12,2100.0
2024-01-26T02:19:14,13,800.0
2024-01-26T02:19:14,14,1600.0
2024-01-26T02:19:14,15,2100.0
2024-01-26T02:19:14,16,800.0
2024-01-26T02:19:14,17,800.0
2024-01-26T02:19:14,18,800.0
2024-01-26T02:19:14,19,800.0
2024-01-26T02:19:14,20,1971.724
2024-01-26T02:19:14,21,800.0
2024-01-26T02:19:14,22,800.0
2024-01-26T02:19:14,23,800.0
2024-01-26T02:19:14,24,800.0
2024-01-26T02:19:14,25,800.0
2024-01-26T02:19:14,26,2000.0
2024-01-26T02:19:14,27,1974.097
2024-01-26T02:19:14,28,800.0
2024-01-26T02:19:14,29,2700.0
2024-01-26T02:19:14,30,800.0
2024-01-26T02:19:14,31,800.0
2024-01-26T02:19:19,0,800.0
2024-01-26T02:19:19,1,800.0
2024-01-26T02:19:19,2,800.0
2024-01-26T02:19:19,3,800.0
2024-01-26T02:19:19,4,800.0
2024-01-26T02:19:19,5,800.0
2024-01-26T02:19:19,6,800.0
2024-01-26T02:19:19,7,800.0
2024-01-26T02:19:19,8,800.0
2024-01-26T02:19:19,9,800.0
2024-01-26T02:19:19,10,2100.0
2024-01-26T02:19:19,11,2000.0
2024-01-26T02:19:19,12,1134.005
2024-01-26T02:19:19,13,800.0
2024-01-26T02:19:19,14,800.0
2024-01-26T02:19:19,15,800.0
2024-01-26T02:19:19,16,800.0
2024-01-26T02:19:19,17,800.0
2024-01-26T02:19:19,18,800.0
2024-01-26T02:19:19,19,800.0
2024-01-26T02:19:19,20,800.0
2024-01-26T02:19:19,21,2200.0
2024-01-26T02:19:19,22,2000.0
2024-01-26T02:19:19,23,800.0
2024-01-26T02:19:19,24,800.0
2024-01-26T02:19:19,25,800.0
2024-01-26T02:19:19,26,800.0
2024-01-26T02:19:19,27,800.0
2024-01-26T02:19:19,28,800.0
2024-01-26T02:19:19,29,2100.0
2024-01-26T02:19:19,30,800.0
2024-01-26T02:19:19,31,800.0
2024-01-26T02:19:24,0,800.0
2024-01-26T02:19:24,1,800.0
2024-01-26T02:19:24,2,800.0
2024-01-26T02:19:24,3,2100.0
2024-01-26T02:19:24,4,800.0
2024-01-26T02:19:24,5,800.0
2024-01-26T02:19:24,6,800.0
2024-01-26T02:19:24,7,800.0
2024-01-26T02:19:24,8,2991.661
2024-01-26T02:19:24,9,2100.0
2024-01-26T02:19:24,10,1647.184
2024-01-26T02:19:24,11,800.0
2024-01-26T02:19:24,12,1165.314
2024-01-26T02:19:24,13,800.0
2024-01-26T02:19:24,14,800.0
2024-01-26T02:19:24,15,800.0
2024-01-26T02:19:24,16,800.0
2024-01-26T02:19:24,17,800.0
