Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

07:25:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
07:29:58 AM 307540572 389080500   2533644      0.64    858408  80695380   6624832      1.64  54705536  27723628       280   1041432   3245780      9744     10176    863196
07:30:03 AM 307538736 389081012   2532764      0.64    858408  80697568   6624832      1.64  54705548  27726024        16   1041584   3246308      9760     10412    863212
07:30:08 AM 307537040 389081696   2532352      0.64    858408  80699836   6624832      1.64  54705536  27728220       248   1041564   3246148      9712     10160    863180
07:30:13 AM 307538548 389085244   2528892      0.64    858408  80701752   6624964      1.64  54705532  27730072       324   1041452   3246184      9680     10136    863148
07:30:18 AM 307535888 389084780   2529040      0.64    858408  80703800   6624964      1.64  54705532  27732216        88   1041576   3246648      9696     10140    863132
07:30:23 AM 307534140 389085116   2528536      0.64    858408  80705732   6637044      1.65  54705536  27737820       168   1045240   3246968      9728     10400    863180
07:30:28 AM 307534224 389087240   2526880      0.64    858408  80707612   6625096      1.64  54705532  27736104       204   1041644   3246660      9712     10140    863148
07:30:33 AM 307531724 389086724   2526996      0.64    858408  80709548   6625096      1.64  54705536  27738772        60   1042320   3247108      9776     10672    863132
07:30:38 AM 307530268 389087648   2526448      0.64    858408  80711792   6625096      1.64  54705536  27740376        84   1041732   3246868      9712     10144    863148
07:30:43 AM 307528800 389088164   2525956      0.64    858408  80713616   6625096      1.64  54705536  27742760        68   1042240   3247004      9728     10400    863132
07:30:48 AM 307528340 389089924   2524244      0.64    858408  80715724   6625228      1.64  54705536  27744360       264   1041840   3247068      9712     10148    863116
07:30:53 AM 307526592 389090348   2523816      0.64    858408  80717740   6625484      1.64  54705536  27746488        52   1041932   3247228      9712     10148    863100
07:30:58 AM 307524652 389090428   2523448      0.64    858408  80719656   6625628      1.64  54705536  27748520       108   1042048   3247620      9712     10148    863132
07:31:03 AM 307524140 389091996   2521884      0.64    858408  80721592   6625628      1.64  54705536  27750624        72   1042140   3247760      9712     10144    863132
07:31:08 AM 307524220 389094308   2519924      0.64    858408  80723664   6625628      1.64  54705528  27752712       208   1042260   3247568      9712     10136    863116
07:31:13 AM 307522660 389095044   2519180      0.64    858408  80725800   6625884      1.64  54705528  27754796       204   1042160   3247736      9696     10088    863100
07:31:18 AM 307520276 389095092   2519020      0.64    858408  80728076   6626016      1.64  54705544  27757424       256   1042500   3248004      9712     10140    863180
07:31:23 AM 307520400 389097316   2516788      0.64    858408  80730064   6638072      1.65  54705536  27763080        56   1046144   3248124      9712     10136    863180
