Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

02:08:32 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:14:12 AM 311476352 388330708   3293948      0.83    858372  76115840 133431168     33.09  50917112  27674052      3440   1783516   3129272     10576     30844    863360
02:14:17 AM 311298504 388154740   3469624      0.88    858372  76117536 167090704     41.43  50917596  27850252      4844   1957540   3129748     10752     34640    863360
02:14:22 AM 311199712 388059340   3564656      0.90    858372  76120796 178182128     44.19  50917940  27939648      5744   2044692   3130248     10768     36852    863392
02:14:27 AM 311321740 388185448   3438484      0.87    858372  76124672 156854924     38.90  50918316  27787272      5228   1888656   3130516     10672     33944    863344
02:14:32 AM 311318004 388183976   3439800      0.87    858372  76126692 148413220     36.80  50918668  27776260      4152   1876344   3130916     10688     33180    863400
02:14:37 AM 311219652 388088708   3534856      0.90    858372  76129732 171842804     42.61  50919116  27886380      5016   1984124   3131172     10704     35424    863408
02:14:42 AM 311216776 388088464   3535832      0.90    858372  76132300 175578908     43.54  50919528  27920808      5168   2016472   3130504     10768     35268    863376
02:14:47 AM 311218916 388093648   3530220      0.89    858372  76135228 181883512     45.10  50919904  27974548      5388   2067020   3131048     10720     36872    863424
02:14:52 AM 311295384 388173828   3449952      0.87    858372  76138816 165150920     40.95  50920308  27884392      4736   1973980   3131260     10704     34980    863360
02:14:57 AM 311341852 388223668   3400324      0.86    858372  76142220 154055272     38.20  50920616  27808540      4636   1895604   3131016     10656     33608    863392
02:15:02 AM 311308620 388192484   3431340      0.87    858372  76144724 152112036     37.72  50921028  27812400      4688   1897368   3130728     10608     33912    863424
02:15:07 AM 311165308 388051576   3571848      0.90    858372  76146764 168849512     41.87  50921456  27929916      5172   2011948   3131492     10736     35932    863440
02:15:12 AM 311252824 388143372   3480056      0.88    858372  76150860 173786180     43.10  50921900  27892404      5032   1971896   3131672     10768     35960    863344
02:15:17 AM 311365260 388259020   3364912      0.85    858372  76153980 159655292     39.59  50922200  27813128      5308   1889496   3131260     10672     33840    863232
02:15:22 AM 311456080 388352616   3270616      0.83    858372  76156740 139257924     34.53  50922580  27700084      3484   1773968   3131976     10576     31628    863232
02:15:27 AM 311364244 388264004   3360032      0.85    858372  76159928 159890040     39.65  50923012  27827688      4572   1898436   3131208     10640     33612    863344
02:15:32 AM 311224424 388125584   3498332      0.89    858372  76161364 168857800     41.87  50923448  27916704      5028   1986508   3131292     10720     35372    863392
02:15:37 AM 311149252 388054376   3569208      0.90    858372  76165248 178166072     44.18  50923780  27969112      5584   2036400   3131704     10656     35712    863312
02:15:42 AM 311292560 388200484   3423752      0.87    858372  76168076 157961880     39.17  50924188  27848960      4564   1912300   3131024     10592     33500    863296
02:15:47 AM 311313312 388224092   3399848      0.86    858372  76170872 157741184     39.12  50924592  27847552      4188   1908500   3131380     10640     34004    863344
02:15:52 AM 311285616 388199580   3425056      0.87    858372  76173960 156281000     38.75  50925020  27843432      3980   1901648   3130780     10592     33076    863312
02:15:57 AM 311395640 388311364   3314660      0.84    858372  76175628 129152136     32.03  50925260  27696848      4340   1754684   3129484     10416     28480    863136
02:16:02 AM 311879416 388797392   2830700      0.72    858372  76177880  45982840     11.40  50925292  27152096      1052   1206780   3127416      9968     16388    862784
02:16:07 AM 311908240 388824864   2805236      0.71    858372  76176480  29948660      7.43  50925372  27112980       912   1169664   3125456      9872     13492    862688
02:16:12 AM 312037764 388954572   2675940      0.68    858372  76176632   6626552      1.64  50925372  26979212       116   1035664   3125076      9744     10440    862624
02:16:17 AM 311934284 388853748   2768784      0.70    858372  76178888  68702608     17.04  50958736  27084728        76   1172012   3133456     10240     19724    863056
02:16:22 AM 311422716 388342448   3279904      0.83    858372  76179088  68702608     17.04  50959364  27692080       152   1780008   3133704     10240     20508    863056
02:16:27 AM 311380828 388300832   3321096      0.84    858372  76179332  68702608     17.04  50960084  27731412         8   1819888   3134156     10224     20516    863056
02:16:32 AM 311461600 388381964   3240236      0.82    858372  76179592  60142280     14.91  50960840  27626752       216   1715708   3133984     10240     19424    863048
02:16:37 AM 312050908 388971228   2657428      0.67    858372  76179548   6619756      1.64  50960852  26949516       176   1038496   3127528      9760      9956    862736
02:16:42 AM 312048920 388968936   2659844      0.67    858372  76179244   6619756      1.64  50960848  26949196        24   1038396   3127404      9696      9940    862768
02:16:47 AM 312046220 388966352   2662500      0.67    858372  76179364   6620524      1.64  50960852  26949884        84   1039004   3127328      9760      9956    862720
02:16:52 AM 312047644 388969304   2659592      0.67    858372  76180844   6635420      1.65  50960872  26957832        56   1045460   3127332      9712     10204    862752
02:16:57 AM 312049692 388972784   2656128      0.67    858372  76182224   6623340      1.64  50960852  26955600        68   1041908   3127368      9744      9964    862688
02:17:02 AM 312047148 388971732   2657064      0.67    858372  76183636   6623340      1.64  50960856  26957704       296   1042024   3127564      9760     10276    862720
02:17:07 AM 312045196 388971448   2657352      0.67    858372  76185236   6626180      1.64  50960844  26960096        92   1043408   3127628      9792     10080    862696
02:17:12 AM 312046304 388974048   2654396      0.67    858372  76186680   6623340      1.64  50960844  26960104        44   1041916   3128032      9760      9964    862736
02:17:17 AM 311219412 388150520   3471808      0.88    858372  76190036  97225280     24.11  50961752  27868436       148   1948012   3134156     10720     33108    863408
02:17:22 AM 310997256 387929668   3692800      0.94    858372  76191288 176807332     43.84  50961936  28100236       204   2178808   3134068     10736     38176    863392
02:17:27 AM 310858184 387790756   3832116      0.97    858372  76191476 176507848     43.77  50961912  27995572        36   2074312   3133636     10704     38336    863408
02:17:32 AM 310875312 387807952   3814848      0.97    858372  76191568 176524664     43.77  50961912  28001452        44   2079948   3133684     10736     38456    863480
02:17:37 AM 310954260 387887084   3735796      0.95    858372  76191712 176511152     43.77  50961916  28007480       480   2086360   3133644     10704     38348    863392
02:17:42 AM 310963728 387896948   3725968      0.94    858372  76192144 176511152     43.77  50961960  28017416       576   2095384   3133572     10736     38352    863328
02:17:47 AM 310973152 387906676   3716308      0.94    858372  76192584 176518588     43.77  50962028  28022720       512   2100596   3133368     10704     38348    863296
02:17:52 AM 311076100 388010136   3612864      0.91    858372  76193008 176672288     43.81  50962032  28078624       500   2155468   3133440     10752     38788    863280
02:17:57 AM 311148304 388082656   3540628      0.90    858372  76193304 176630696     43.80  50962028  28067336       348   2144336   3133176     10704     38576    863296
02:18:02 AM 311135332 388069868   3553360      0.90    858372  76193544 176642752     43.80  50962028  28073564       492   2150416   3133176     10704     39080    863360
02:18:07 AM 311150664 388085436   3538036      0.90    858372  76193788 176630696     43.80  50962028  28070988       372   2147296   3132924     10704     38576    863360
02:18:12 AM 311155852 388090756   3532536      0.89    858372  76194052 176635508     43.80  50962024  28073640       604   2149940   3132972     10704     38592    863408
02:18:17 AM 311066576 388001920   3622044      0.92    858372  76194300 176925364     43.87  50962028  28165960       312   2241840   3132492     10704     38628    863376
02:18:22 AM 311130120 388065688   3558084      0.90    858372  76194652 176720932     43.82  50962028  28111992       520   2188200   3132556     10720     38708    863376
02:18:27 AM 311087644 388023676   3600396      0.91    858372  76195056 176841100     43.85  50962032  28158228       400   2233408   3132316     10736     38852    863344
02:18:32 AM 311128032 388064312   3559600      0.90    858372  76195464 176771184     43.84  50962028  28138448       588   2213316   3132316     10720     39100    863360
02:18:37 AM 311122840 388059632   3564128      0.90    858372  76195868 176770244     43.84  50962028  28137984       712   2212200   3132576     10736     38948    863480
02:18:42 AM 311131432 388068388   3554980      0.90    858372  76196152 173929360     43.13  50962032  28112320       568   2186360   3132848     10736     38472    863432
02:18:47 AM 311126096 388064016   3559464      0.90    858372  76196880 164522396     40.80  50962144  28075024       776   2148384   3132972     10720     37544    863344
02:18:52 AM 311189224 388128460   3495480      0.89    858372  76198224 156122916     38.71  50962380  27928152       788   2000556   3132484     10640     35588    863264
02:18:57 AM 311001340 387940144   3683820      0.93    858372  76197680 172943712     42.89  50962712  28052788       736   2125904   3132572     10688     37796    863392
02:19:02 AM 310999172 387938128   3685372      0.93    858372  76197812 166427204     41.27  50962948  27999472      1408   2072864   3133056     10720     36596    863360
02:19:07 AM 310937880 387876984   3746800      0.95    858372  76197936 176502688     43.77  50963092  28025072       276   2098364   3132796     10704     38392    863408
02:19:12 AM 310939624 387878960   3744764      0.95    858372  76198188 176513836     43.77  50963088  28035128       288   2108376   3132836     10688     38376    863376
02:19:17 AM 310987288 387926952   3696696      0.94    858372  76198524 176533764     43.78  50963148  28046692       408   2119504   3132904     10688     38392    863360
02:19:22 AM 311018804 387958764   3664848      0.93    858372  76198876 176543488     43.78  50963152  28055516       328   2128124   3132884     10688     38420    863360
02:19:27 AM 311048440 387988800   3634668      0.92    858372  76199232 176569460     43.79  50963192  28067436       388   2139596   3133072     10704     38512    863360
02:19:32 AM 311101040 388041724   3581552      0.91    858372  76199548 176612080     43.80  50963188  28084016       272   2156016   3133272     10752     38540    863312
02:19:37 AM 311112832 388053820   3569456      0.90    858372  76199852 176613440     43.80  50963188  28087912       344   2159416   3133272     10688     38560    863328
02:19:42 AM 311135960 388077168   3546060      0.90    858372  76200116 176638624     43.80  50963188  28100076       524   2171444   3133276     10720     38700    863352
02:19:47 AM 311125644 388067208   3556264      0.90    858372  76200388 176645464     43.80  50963184  28104112       244   2174692   3133116     10688     38628    863344
02:19:52 AM 311139012 388080788   3542428      0.90    858372  76200716 176675188     43.81  50963184  28117904       272   2188732   3133256     10752     39212    863328
02:19:57 AM 311120312 388062528   3560704      0.90    858372  76201080 176694648     43.82  50963188  28128028       328   2198108   3133316     10688     38728    863360
02:20:02 AM 311094792 388037208   3585780      0.91    858372  76201376 173901400     43.12  50963204  28138844       492   2208952   3133464     10704     39208    863376
02:20:07 AM 311073400 388016376   3606804      0.91    858372  76201776 176732816     43.83  50963224  28144972       300   2214216   3133432     10688     38852    863360
02:20:12 AM 311099428 388042712   3580292      0.91    858372  76202316 176727332     43.82  50963260  28144504       380   2213600   3133376     10688     38772    863328
02:20:17 AM 311056488 388000400   3622956      0.92    858372  76202712 176799628     43.84  50963328  28166372       432   2234812   3133256     10688     38568    863392
02:20:22 AM 311020272 387964580   3658804      0.93    858372  76203092 173826848     43.11  50963504  28109376       340   2177804   3133244     10704     38312    863392
02:20:27 AM 311007012 387951700   3671576      0.93    858372  76203444 173802188     43.10  50963652  28094644       176   2162792   3133380     10688     38172    863328
02:20:32 AM 311108808 388054304   3568712      0.90    858372  76204260 160874012     39.89  50963788  27983332       120   2050908   3133632     10720     37128    863328
02:20:37 AM 310990804 387936460   3686348      0.93    858372  76204404 172816728     42.85  50964080  28013800       200   2081412   3133856     10720     37820    863360
