Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

04:41:29 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:47:24 PM 380040096 389358664   2588696      0.66   1235364   9587940 174909840     43.38   4241672   8119244      7400   1565048   1406452     10784     33596    268660
04:47:29 PM 380073916 389396180   2551104      0.65   1235372   9591540 174882460     43.37   4242080   8104100      5820   1548336   1406616     10752     32152    268724
04:47:34 PM 380012364 389338408   2609292      0.66   1235372   9594768 178618372     44.30   4242576   8146468      7148   1586284   1406752     10768     32940    268804
04:47:39 PM 379970796 389299896   2647752      0.67   1235380   9597788 178592036     44.29   4243004   8153296      5560   1592052   1406832     10736     32200    268724
04:47:44 PM 380051772 389383864   2563176      0.65   1235388   9600700 169279552     41.98   4243344   8108100      6684   1544700   1407512     10816     31548    268724
04:47:49 PM 379962028 389297920   2649376      0.67   1235400   9604124 182319992     45.21   4243912   8182092      5116   1615496   1407620     10784     32676    268804
04:47:54 PM 380079072 389418620   2528552      0.64   1235408   9607640 165581732     41.06   4244264   8082000      5372   1512036   1407876     10912     31184    268820
04:47:59 PM 380022300 389365324   2582388      0.65   1235416   9610816 175793440     43.59   4244776   8145464      5272   1571864   1407628     10800     32424    268756
04:48:04 PM 379994656 389340980   2606364      0.66   1235420   9614016 182303024     45.21   4245232   8190816      5736   1615636   1408092     10752     32976    268788
04:48:09 PM 379996800 389346772   2599612      0.66   1235424   9617780 167343880     41.50   4245612   8145036      6784   1565760   1408932     10784     31824    268884
04:48:14 PM 380070596 389424404   2523288      0.64   1235428   9621020 167520492     41.54   4246136   8069356      5400   1486956   1408216     10736     31068    268772
04:48:19 PM 380035512 389391708   2555972      0.65   1235436   9623972 166029468     41.17   4246420   8084216      6964   1498688   1407656     10704     31284    268772
04:48:24 PM 380219088 389577580   2371148      0.60   1235440   9626180 129753708     32.18   4246824   7904592      4076   1317668   1406692     10496     25148    268612
04:48:29 PM 380661784 390022512   1928128      0.49   1235452   9628312  55145316     13.68   4246992   7440196      3252    851964   1404872     10112     13748    268388
04:48:34 PM 380894892 390255596   1696080      0.43   1235452   9628236  10015024      2.48   4246992   7196504       540    608160   1403888      9872      7200    268148
04:48:39 PM 380935084 390297912   1653280      0.42   1235464   9630104   4185252      1.04   4247008   7168044      1336    577796   1404616      9808      6004    268116
04:48:44 PM 380711500 390076444   1866920      0.47   1235468   9632160  66403324     16.47   4265040   7448008       304    873752   1412500     10320     17260    268532
04:48:49 PM 380705164 390070580   1872456      0.47   1235476   9632604  64257940     15.94   4265352   7441088       520    866660   1412848     10304     16876    268548
04:48:54 PM 380807124 390172928   1775276      0.45   1235488   9632952  10623340      2.63   4265632   7177008       188    601424   1407708      9872      7132    268212
04:48:59 PM 380843556 390208704   1740620      0.44   1235492   9632268   4187188      1.04   4265636   7153716      1196    579868   1406612      9856      6004    268164
04:49:04 PM 380836788 390203820   1745484      0.44   1235496   9634124   4191796      1.04   4265640   7160364       172    584668   1406656      9856      6008    268148
04:49:09 PM 380833168 390202896   1746736      0.44   1235500   9636748   4191796      1.04   4265640   7162968       508    584668   1406396      9856      6008    268196
04:49:14 PM 380833584 390206208   1743528      0.44   1235500   9639560   4191796      1.04   4265640   7165756       184    584664   1406376      9856      6012    268196
04:49:19 PM 380016556 389394332   2548996      0.65   1235504   9644496 174091224     43.17   4266680   8160744      4696   1576276   1412996     10784     33656    269124
04:49:24 PM 379667296 389045420   2897932      0.73   1235516   9644880 174237112     43.21   4266720   8202060       936   1617392   1412924     10768     34608    269108
04:49:29 PM 379674776 389053164   2889648      0.73   1235524   9645056 174241364     43.21   4266728   8204656       640   1619252   1413544     10864     34636    269108
04:49:34 PM 379678368 389056856   2886304      0.73   1235532   9645188 174242756     43.21   4266732   8206752       796   1621484   1413156     10784     34612    269092
04:49:39 PM 379684000 389062876   2880364      0.73   1235540   9645516 174243352     43.21   4266860   8223228       532   1637788   1413128     10912     34620    269028
04:49:44 PM 379686524 389065832   2877372      0.73   1235548   9645960 174248116     43.21   4266868   8227960      1828   1642312   1413144     10752     34620    269028
04:49:49 PM 379731272 389111316   2832016      0.72   1235548   9646664 174347984     43.24   4266876   8242228       836   1655364   1413048     10752     34632    269012
04:49:54 PM 379908212 389288636   2654892      0.67   1235556   9647040 174354740     43.24   4266884   8269272      1668   1682560   1412848     10752     34892    269012
04:49:59 PM 379929864 389310604   2632972      0.67   1235560   9647304 174363084     43.24   4266884   8276452       564   1688904   1412848     10752     34868    268900
04:50:04 PM 379897852 389279100   2664076      0.67   1235572   9647700 174367888     43.24   4266888   8280492      1612   1692996   1413348     10752     34872    268884
04:50:09 PM 379892900 389274536   2668776      0.68   1235580   9647972 174372000     43.24   4266916   8283940       632   1695628   1413320     10784     34984    268860
04:50:14 PM 379885328 389267348   2676180      0.68   1235588   9648244 174376276     43.24   4266924   8286508      1556   1698456   1413208     10784     34992    268844
04:50:19 PM 379898668 389281032   2662560      0.67   1235592   9648520 174415024     43.25   4266916   8303288       736   1714680   1413208     10752     34892    268828
04:50:24 PM 379895668 389278652   2665148      0.67   1235596   9649040 174475844     43.27   4266932   8331056      1696   1742272   1413096     10752     35064    268724
04:50:29 PM 379908324 389291592   2652040      0.67   1235600   9649460 174500644     43.27   4266932   8343108       552   1754104   1413124     10736     35132    268772
04:50:34 PM 379879464 389263164   2680156      0.68   1235604   9649888 174491188     43.27   4266976   8340408      1552   1750728   1413436     10736     35092    268740
04:50:39 PM 379880548 389264600   2678612      0.68   1235616   9650308 174491460     43.27   4266992   8341044       516   1751076   1413464     10704     35088    268708
04:50:44 PM 379869372 389254236   2689488      0.68   1235616   9650848 174462140     43.26   4267064   8332284      1716   1741616   1413224     10752     35068    268708
04:50:49 PM 379891556 389276660   2667248      0.68   1235620   9651148 164192256     40.72   4267080   8253552       636   1662772   1412976     10752     33620    268708
04:50:54 PM 379845344 389231312   2712652      0.69   1235624   9651660 168655992     41.82   4267468   8262860      3016   1671404   1413268     10752     34504    268740
04:50:59 PM 379771760 389158556   2785824      0.71   1235636   9652200 174225452     43.21   4267904   8233928      3404   1643000   1413128     10720     34408    268708
04:51:04 PM 379690052 389076988   2867372      0.73   1235644   9652468 174330976     43.23   4268036   8262884      4812   1671600   1413012     10720     34688    268724
04:51:09 PM 379723676 389110788   2833532      0.72   1235648   9652652 174246280     43.21   4268056   8239652       368   1648412   1413040     10736     34676    268708
04:51:14 PM 379737632 389125032   2819452      0.71   1235656   9652960 174250700     43.21   4268100   8250312      1312   1658856   1412848     10736     34428    268756
04:51:19 PM 379742592 389130448   2813816      0.71   1235660   9653476 174258872     43.21   4268108   8257776       776   1665980   1413004     10736     34684    268756
04:51:24 PM 379826176 389214404   2729908      0.69   1235660   9653852 174286980     43.22   4268168   8271212       652   1678384   1412952     10848     34724    268788
04:51:29 PM 379884364 389273148   2671096      0.68   1235668   9654348 174327128     43.23   4268176   8287000       560   1694304   1413072     10736     34916    268772
04:51:34 PM 379916792 389305892   2638324      0.67   1235672   9654656 174342464     43.23   4268188   8295772       468   1702516   1413104     10720     34836    268756
04:51:39 PM 379923296 389312752   2631476      0.67   1235676   9654984 174362572     43.24   4268196   8305276      1548   1711300   1413116     10688     34876    268788
04:51:44 PM 379936232 389325980   2618380      0.66   1235680   9655252 174372252     43.24   4268196   8310820       452   1716768   1413004     10704     34868    268820
04:51:49 PM 379915744 389305700   2638356      0.67   1235688   9655568 174390108     43.25   4268208   8319728      1512   1725760   1413192     10704     34932    268772
04:51:54 PM 379927144 389317516   2626732      0.67   1235692   9655868 174408196     43.25   4268212   8329908       408   1735304   1413112     10704     34960    268772
04:51:59 PM 379890920 389281692   2662376      0.67   1235692   9656304 174513536     43.28   4268244   8367668      1584   1772832   1413256     10736     35064    268772
04:52:04 PM 379883604 389274964   2669332      0.68   1235692   9656836 174527268     43.28   4268284   8375612       444   1780028   1413084     10704     35040    268708
04:52:09 PM 379909044 389300900   2642952      0.67   1235692   9657496 174461400     43.26   4268288   8352816      1424   1756928   1413364     10704     35096    268788
04:52:14 PM 379907844 389300272   2643744      0.67   1235704   9657900 174471416     43.27   4268300   8358828       320   1762140   1413356     10704     35116    268868
04:52:19 PM 379880724 389273376   2670064      0.68   1235708   9658208 171579208     42.55   4268456   8322388      1404   1725736   1413844     10656     34468    268852
04:52:24 PM 379898784 389292304   2651524      0.67   1235708   9658908 164339908     40.75   4268504   8238372       260   1640884   1413624     10688     33300    268724
04:52:29 PM 379854672 389249792   2695056      0.68   1235712   9660320 174322992     43.23   4268820   8288012      2800   1689648   1412788     10688     33768    268644
04:52:34 PM 379788644 389184056   2760652      0.70   1235720   9660544 174395056     43.25   4269020   8282036       236   1683556   1412988     10704     34752    268660
04:52:39 PM 379764452 389160880   2783872      0.71   1235724   9661460 174281124     43.22   4269140   8268232      1260   1669084   1413040     10720     34712    268596
04:52:44 PM 379745780 389142532   2802160      0.71   1235740   9661644 174245256     43.21   4269296   8252688       904   1652828   1413224     10736     34332    268660
04:52:49 PM 379750896 389148256   2796676      0.71   1235744   9662260 174256300     43.21   4269360   8259996      1240   1660384   1412972     10720     34656    268740
04:52:54 PM 379754908 389152764   2792216      0.71   1235744   9662724 174268320     43.22   4269420   8267676       156   1667448   1412956     10720     34688    268756
04:52:59 PM 379767380 389165504   2779096      0.70   1235748   9663060 174383668     43.24   4269424   8309820      1532   1709508   1413264     10720     34820    268724
04:53:04 PM 379832748 389231284   2713444      0.69   1235756   9663380 174326112     43.23   4269452   8295724       716   1694600   1413220     10704     34784    268724
04:53:09 PM 379862580 389261372   2683396      0.68   1235760   9663704 174346804     43.24   4269452   8304780       396   1703724   1413108     10736     34860    268708
04:53:14 PM 379866116 389265488   2679320      0.68   1235772   9664136 174355428     43.24   4269472   8310304       752   1708324   1413204     10720     34852    268740
04:53:19 PM 379877956 389277520   2667104      0.68   1235776   9664428 174387784     43.25   4269480   8323440       720   1721548   1413284     10720     34900    268756
04:53:24 PM 379877352 389277368   2666928      0.68   1235780   9664752 174398632     43.25   4269484   8330316      1812   1727692   1413736     10704     34908    268756
04:53:29 PM 379892972 389293184   2650844      0.67   1235780   9665060 174409376     43.25   4269516   8336020       840   1733692   1413892     10720     34904    268804
04:53:34 PM 379865212 389266076   2677936      0.68   1235788   9665552 174448480     43.26   4269532   8352988      1728   1750200   1414060     10720     35028    268740
04:53:39 PM 379887960 389289312   2654572      0.67   1235796   9666216 171616192     42.56   4269536   8331564       664   1728152   1414004     10704     34408    268612
04:53:44 PM 379847224 389248956   2695044      0.68   1235804   9666316 174461208     43.26   4269588   8360976      1668   1756892   1414160     10752     35100    268644
04:53:49 PM 379832252 389234320   2709524      0.69   1235808   9666780 174458312     43.26   4269632   8363152       832   1759024   1414184     10720     35032    268628
04:53:54 PM 379874668 389277684   2666248      0.68   1235816   9667500 170690112     42.33   4269776   8305644      2144   1700800   1414316     10720     34260    268596
04:53:59 PM 379777744 389180844   2763176      0.70   1235820   9667640 174387260     43.25   4269896   8331008       856   1726444   1414168     10720     34752    268676
